Titre,Lien_du_titre,image,note,venueindex,champ,champ1,catégorie,adresse,étiquette,avatar,auteur,utilisateur
"Amaurea G. • Octobre 6, 2015
Les ruines sont superbes et pleines d'Histoire ! Éviter de le faire en plein soleil, peu d'ombre, ou alors hors-saison ! Dans les incontournables à visiter à Rome !",https://fr.foursquare.com/amaurea,https://fastly.4sqi.net/img/general/600x600/63991_vDtwGgx3Ym5CDVGgas0h9heR9aDGf9GC77d5lI4croA.jpg,9.4,11,https://fr.foursquare.com/v/foro-romano/4adcdac6f964a520335321e3,Forum Romain,Site historique et protégé,"Via dei Fori Imperiali, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/EN2GTKPDPFWG50L5.jpg,"Amaurea G. • Octobre 6, 2015",Amaurea G.
"Amaurea G. • Octobre 6, 2015
Un joli parc ombragé et agréable, une ballade sympa et rafraîchissante quand il fait un peu chaud.",https://fr.foursquare.com/amaurea,https://fastly.4sqi.net/img/general/600x600/45966652_KuxIfsSFubQ6E2DUB6s_HwOEQDGsGC65AXQ_620kaQU.jpg,9.4,12,https://fr.foursquare.com/v/villa-borghese/4adcdac6f964a5203c5321e3,Villa Borghese,Parc,"Piazzale Flaminio, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/EN2GTKPDPFWG50L5.jpg,"Amaurea G. • Octobre 6, 2015",Amaurea G.
"Mélanie A. • Octobre 28, 2013
Super chouette place ou il y a trois superbes fontaines et pleins d'animation! On peut facilement y rester 2h sans voir le temps passer! Glaces sont très bonnes aussi 👍",https://fr.foursquare.com/melanieant95,https://fastly.4sqi.net/img/general/600x600/28628705_WjiDDtsPsx7EepiplIZND2rIV0vJTPAPjOagoXO-bPg.jpg,9.4,13,https://fr.foursquare.com/v/piazza-navona/4adcdac6f964a520285321e3,Place Navone,Place,"Piazza Navona, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43416098-G1BGOOBJQSI2MJEF.jpg,"Mélanie A. • Octobre 28, 2013",Mélanie A.
"Amaurea G. • Octobre 6, 2015
Un pont magnifique à la tombée du jour, quand la lumière dore la ville et semble donner vie aux statues. Jolie vue sur le dôme de la Basilique et sur le Castel San't Angelo.",https://fr.foursquare.com/amaurea,https://fastly.4sqi.net/img/general/600x600/514629475_qYGZiqvOw5wWP10ivF6kl2RxlmwpVr8_i4kct3Y-Ipo.jpg,9.4,14,https://fr.foursquare.com/v/ponte-santangelo/4adcdac8f964a520f05321e3,Ponte Sant'Angelo,Pont,"Ponte Sant'Angelo, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/EN2GTKPDPFWG50L5.jpg,"Amaurea G. • Octobre 6, 2015",Amaurea G.
"City G. • Mars 31, 2014
Magnifique endroit à visiter ! Et encore mieux si on pouvait séjourner dans ce quartier !",https://fr.foursquare.com/citygetaway,https://fastly.4sqi.net/img/general/600x600/1521488_SWpMpUN0Bv0egab8EbWpokzZUyiaUlu1sKmuJ1LYxuQ.jpg,9.4,15,https://fr.foursquare.com/v/colosseo/4adcdac6f964a520355321e3,Colisée,Site historique et protégé,"Piazza del Colosseo (Via dei Fori Imperiali), Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/81400176-XZLXGFUYNEKEOHSN,"City G. • Mars 31, 2014",City G.
"Hamza H. • Septembre 14, 2015
Trés beau jardin, avec une vue panoramique sur rome depuis la colline, coin romantique par excellence, et si vous rencontrez un mec qui chante avec sa guittare trés bien,vous allez adorer le coin bcp+",https://fr.foursquare.com/hamzah3110167,https://fastly.4sqi.net/img/general/600x600/44560628_MMeaNr5LtjtMfmJKpho6CpdLfzB_cSSxwB7YmBlnKUQ.jpg,9.4,16,https://fr.foursquare.com/v/giardino-degli-aranci/4c0a74e9a1b32d7fe64d99f0,Giardino degli Aranci,Jardin,"Piazza Pietro d'Illaria, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/138880752-Q04JVFTEM0AR5T2R.jpg,"Hamza H. • Septembre 14, 2015",Hamza H.
"Fluying ✅. • Septembre 1, 2018
In 1550, a church was housed inside the ancient temple. The green door shows the street level at the time of Michelangelo. The long staircase was underground until excavated in the 1800s.",https://fr.foursquare.com/fluying,https://fastly.4sqi.net/img/general/600x600/8235326_y5Yz2Je7od8fH27LJWRu2qn-HkqW9KETGVq0jEhHkFk.jpg,9.4,17,https://fr.foursquare.com/v/templio-de-antonino-e-faustina/4f672748e4b03aa48f894aca,Temple d'Antonin et Faustine,Temple,"Foro Romano, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/1686706_S0MiWh8V_L4Lvx_1aL9WQp2ansf9jsIZ55sc0ufIiPC3fV9XKU0qUBOBEBlHRL22JfBsyY7j1.jpg,"Fluying ✅. • Septembre 1, 2018",Fluying ✅.
"Sibel E. • Avril 18, 2016
La vue est juste magnifique!",https://fr.foursquare.com/sibele8759761,https://fastly.4sqi.net/img/general/600x600/9046853_aJzPGpTdZan4lPnaQQAVDgEiypI8F5lIwPbfwiOplJU.jpg,9.4,18,https://fr.foursquare.com/v/castel-santangelo/4adcdac6f964a520475321e3,Château Saint-Ange,Château,"Lungotevere Castello, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/IPRP5P0DSADD5GOS.jpg,"Sibel E. • Avril 18, 2016",Sibel E.
"Yaniv A. • Juin 24, 2016
Les glaces sont vraiement excellente. Passage obligé si vous aller à Rome. Parmi les meilleurs glaces que je connaisses. Et la crêpe au chocolat, pâte chocolat est top",https://fr.foursquare.com/yanivafriat,https://fastly.4sqi.net/img/general/600x600/75185226_9fUPo3tlyEtPjleeZjAvfsAqsUa2rD5k9xmv_CE3x2M.jpg,9.4,19,https://fr.foursquare.com/v/la-romana/51a0bced498ee3b3eb8a6f9c,La Romana,Glace,"Via Venti Settembre, 60 (Via Piave), Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/XQ1DWVQIW2FG4CAX.jpg,"Yaniv A. • Juin 24, 2016",Yaniv A.
"Kral2 • Mars 26, 2017
Jolie vue sur Rome, perché au dessus de la piazza popolo. Le parc offre une belle balade, bien moins bondée que la rampe à selfie.",https://fr.foursquare.com/kraltwo,https://fastly.4sqi.net/img/general/600x600/9121226_tV9xerGtxqRB-7MLE-q8wxaw8CT0JHjJ2I44froPTBM.jpg,9.4,20,https://fr.foursquare.com/v/terrazza-del-pincio/4ca722cdb7106dcb97a664a5,Terrazza del Pincio,Place,"Piazzale Napoleone I, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/G4FKFOWEUIIIDOEE.jpg,"Kral2 • Mars 26, 2017",Kral2
"Joao S. • Septembre 24, 2014
Um dos componentes do fórum romano! Como um todo vale antena conhecer o Fórum!",https://fr.foursquare.com/joaos6519996,https://fastly.4sqi.net/img/general/600x600/25738663_s90C7grRdiNKnaCzKLLu-sY_BrCDinwQuIo_UugQ8JM.jpg,9.4,21,https://fr.foursquare.com/v/tempio-del-divo-romolo/4e92cba98231bf0d178c6e8d,Temple de Romulus,Temple,"Foro Romano, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/86089789-3UUQYVVTGHO0LHLN.jpg,"Joao S. • Septembre 24, 2014",Joao S.
"Pierre B. • Novembre 8, 2014
Endroit absolument incontournable, très émouvant.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/13632164_jCmyqjc3hxFjqdHHoHuYvqzieaYJAOyzzMR49RcdLg0.jpg,9.4,22,https://fr.foursquare.com/v/piazza-san-pietro/4adcdac7f964a520735321e3,Place Saint-Pierre,Place,"Piazza San Pietro, Vatican",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 8, 2014",Pierre B.
"Chamallow😄 • Avril 8
Personnel très gentil et pas mal de choix! Je conseille!",https://fr.foursquare.com/user72766281,https://fastly.4sqi.net/img/general/600x600/53083884_kWiC6RhLmjoN7uWnkOQAGFXPyPBsj9sx-3c5qH49MmI.jpg,9.4,23,https://fr.foursquare.com/v/pizza-e-mozzarella/50e43f98e4b0b781c2362b32,Pizza e Mozzarella,Pizza,Via di Piè di Marmo 32,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/72766281-1WJTPDWYSMM2YV5K.jpg,Chamallow😄 • Avril 8,Chamallow😄
"Nymmh • Décembre 17, 2015
Splendide et massif",https://fr.foursquare.com/mdblast,https://fastly.4sqi.net/img/general/600x600/19684490_LuY7Qq7l5rTJNZM1QTAC8ZeR95VqfmBO5dJs4-_aeJE.jpg,9.4,24,https://fr.foursquare.com/v/vittoriano/551aec02498e528300f8c1af,Vittoriano,Monument,"Piazza Venezia, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/137758715-B2JXIVMPNQMUG3LY.jpg,"Nymmh • Décembre 17, 2015",Nymmh
"Pierre B. • Novembre 7, 2014
Très belle place. La statue de l'empereur Auguste est située au centre.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/58093040_uKzkldJCnUI-DAGH0wHrkKlINkvw_I5PcFpyGVO5j7w.jpg,9.4,25,https://fr.foursquare.com/v/piazza-del-campidoglio/4adcdac7f964a5209f5321e3,Place du Capitole,Place,"Piazza del Campidoglio, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 7, 2014",Pierre B.
"Manon C. • Juillet 1, 2019
Cadre sympa, charcuterie excellente et à prix très raisonnable",https://fr.foursquare.com/manonc7534778,https://fastly.4sqi.net/img/general/600x600/5408978_-z0rlzP5gRt0aXrBGIedSxSHRdHsVnXwiVCLCPgroRw.jpg,9.4,26,https://fr.foursquare.com/v/pane-e-salame/56dd7b20498ebb7ab96350ee,Pane e Salame,Sandwicherie,"Via di Santa Maria in Via 19 (Via dei Crociferi), Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/127335698_w2B01LQP_i8S9gqd9DL5mgsULvwCVMTeKfmufTKffVQVVSX_iJKc6UsGfp3A6nRvMun0Z_aX9.jpg,"Manon C. • Juillet 1, 2019",Manon C.
"Valentina T. • Novembre 6, 2021
Homemade pastry shop with a wide choice of sweets, including Sicilian ones, tables inside. Not to be missed!",https://fr.foursquare.com/valentit1400403,https://fastly.4sqi.net/img/general/600x600/29698127_cWBdewQbPNd-YeTL-Vs-T5YiLjAY47VcaRm8fBajfyY.jpg,9.4,27,https://fr.foursquare.com/v/i-dolci-di-nonna-vincenza/5a4cfe28f96b2c69e299ba69,I Dolci Di Nonna Vincenza,Desserts,"Via dell'Arco del Monte 98/A/B, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/594833422_ebnDoO4q_v55sej3c0uGwAOQ4f8UdvOdsQ5ob_uaWoVO8AV_Hl7YP5h90-JQGPhiF-w3nxZ4L.jpg,"Valentina T. • Novembre 6, 2021",Valentina T.
"Manuela Z. • Août 20, 2017
Incredible service, perfectly designed and appointed rooms, knowledgeable & friendly staff, delicious buffet breakfasts, stately spa...I could live here.",https://fr.foursquare.com/manuelasweb,https://fastly.4sqi.net/img/general/600x600/541692463_cNel9kv63aveRro-RBUUPGaCb_AD-2JBHcKOfKJ6Unk.jpg,9.4,28,https://fr.foursquare.com/v/hotel-de-russie/4adcdac1f964a520ce5121e3,Hotel de Russie,Hôtel,"Via del Babuino 9, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/ZOVMTZEBOPIGLE3Y.jpg,"Manuela Z. • Août 20, 2017",Manuela Z.
"Pierre B. • Novembre 8, 2014
Joli monument sur une très belle place.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/600x600/72080571_UvtT05_FnxZnxYGKh1bKyImCG5tZgbUg-R2z2cPnOiE.jpg,9.3,29,https://fr.foursquare.com/v/fontana-del-moro/4adcdac9f964a520f95321e3,Fontana del Moro,Fontaine,"Piazza Navona, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 8, 2014",Pierre B.
"Linh-Lan D. • Juillet 8, 2019
Très bonnes glaces. Servi un peu chichement par contre. A goûter : le cappuccino et la mandarine !",https://fr.foursquare.com/ceruleeann,https://fastly.4sqi.net/img/general/600x600/78323907_xf0WrdbMuqe4-7RlRTjhur9zCoG0iGxeCaGhneovuoI.jpg,9.3,30,https://fr.foursquare.com/v/venchi/53ce8a93498e9707065baed5,Venchi,Glace,"Via degli Orfani 87 (Via del Corso), Rome",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/136163151_uFVaF2cd_c8PVdSYxjxi8oQVcp0emWMC7J-9f74FXhQq-8cKrPWbaZPYMiqruz5mzZBPk3VmL.jpg,"Linh-Lan D. • Juillet 8, 2019",Linh-Lan D.
"Josefina V. • Novembre 22, 2019
Amazing breakfast pastry. lil’charcoal buns filled with salmon and avocado, baguettes and pistachio croissant!",https://fr.foursquare.com/josefinv1026014,https://fastly.4sqi.net/img/general/300x300/12369945_e_UNoJQnFc_uRruJ8420TeNtTEBEKSUJ95MRDvXXYfU.jpg,9.3,31,https://fr.foursquare.com/v/le-levain/54aed694498e1f1081af78ad,Le LEVAIN,Petit déjeuner,"Via Luigi Santini 22, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/100500893_qUumBbB7_pDV5aI4ZKFgyhz_MOEjNG_dx0B1yUdw34HWH3QSK3oP4TZb7fiT3Fl_tp0Ms0nxe.jpg,"Josefina V. • Novembre 22, 2019",Josefina V.
"michele g. • Mars 4, 2012
Il Central Park de noantri!",https://fr.foursquare.com/micheleg8738340,https://fastly.4sqi.net/img/general/300x300/10187566_emCEwFUu2-E0g3_puTSlNkP_nLUByIWzml92-0yTOdo.jpg,9.3,32,https://fr.foursquare.com/v/villa-doria-pamphilj/4b938671f964a5200a4734e3,Villa Doria Pamphilj,Parc,"Villa Doria Pamphili, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/9381470_sUJCYUhF_zevT75oDneKinEZ3r8jfoa0KvoQWdIUuIOJWXI2LRPE0UNcIUc2A6vi8rUUukfQU.jpg,"michele g. • Mars 4, 2012",michele g.
"Julia K. • Septembre 15, 2016
Must see! Not much left, but gives you a great impression of how people lived long ago!",https://fr.foursquare.com/juliak6453855,https://fastly.4sqi.net/img/general/300x300/45991418_xkiNpMNMUMzQzN4w-ARHTAcjDnt4GANAwmPWKDtnic4.jpg,9.3,33,https://fr.foursquare.com/v/foro-di-cesare/4e2859d5ae60078b2fca37e1,Foro di Cesare,Site historique et protégé,"Via dei Fori Imperiali, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/339798158-B5BCHLKFALD0SNVH.jpg,"Julia K. • Septembre 15, 2016",Julia K.
"Mathieu R. • Avril 5, 2012
Excellent view on piazza Venezia and via foro imperali, but the entry is a little expensive(9euros)!",https://fr.foursquare.com/mathieur5130620,https://fastly.4sqi.net/img/general/300x300/43067305_tMEGIIaDejmi_71hOeqE03h2ZCKlhcRFgrBXnjAoDQI.jpg,9.3,34,https://fr.foursquare.com/v/foro-di-traiano/4c41fd5c520fa593517ccaac,Foro di Traiano,Site historique et protégé,"Piazza Foro Traiano, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/5SN02MGWHOUSAT5A.jpg,"Mathieu R. • Avril 5, 2012",Mathieu R.
"AlAnoud O. • Août 26, 2019
Their pistachio tiramisu tastes so heavenly!😋",https://fr.foursquare.com/alanoudo1961815,https://fastly.4sqi.net/img/general/300x300/490254663_d8CTC7CsLAjj_pAdpvLQtaOqwgFfTpw7naOdGcrQOu0.jpg,9.3,35,https://fr.foursquare.com/v/two-sizes/58da9ead7220e62a2580bb4a,Two Sizes,Desserts,"Via del governo vecchio 88 (Vicolo della cancelleria), Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/147431581_OjUmd5SN_Zs8QqXkMgivV4a74xpUHYsINDfEQx7DVJI_Jie63G_zmQpLcOQCMviCZx7Q4TH_S.jpg,"AlAnoud O. • Août 26, 2019",AlAnoud O.
"Florian D. • Octobre 13, 2011
Best wine bar. If you wanna go there in the evening better get a table before.",https://fr.foursquare.com/floriandoe,https://fastly.4sqi.net/img/general/300x300/58261516_NgoZ0_EtxE6fVnuh6YezbVjs9Zon2BHUZZGT13sNgA0.jpg,9.3,36,https://fr.foursquare.com/v/il-goccetto/4c01491cd715c92875d9fce3,Il Goccetto,Bar à vins,"Via dei Banchi Vecchi, 14 (Via delle Carceri), Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/PIOGRWI5LXDUA5EI.jpg,"Florian D. • Octobre 13, 2011",Florian D.
"Andrew 翁 • Mars 16, 2015
Wow ! Such a huge Louis Vuitton boutique outlet in Rome. Cozy place & VIP-serviced by well-trained staff.",https://fr.foursquare.com/user35302859,https://fastly.4sqi.net/img/general/300x300/88370042_9uwvBR_TdsL_U--ie5h0siQXWBym30hFGqyo84TuaMA.jpg,9.3,37,https://fr.foursquare.com/v/louis-vuitton/4f218a1be4b0b69d78a4f6ff,Louis Vuitton,Boutique,"Piazza di San Lorenzo in Lucina 41, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/35302859_orGExaNj_3kl-sYJT-NefNpJwEzXhw444eGL7KftdBhZOMd9Ff5s1-3eE4sSiw2CLxUPJXd7g.jpg,"Andrew 翁 • Mars 16, 2015",Andrew 翁
"Delph I. • Février 22, 2019
Meilleures glaces du séjour à Rome",https://fr.foursquare.com/delphi6946436,https://fastly.4sqi.net/img/general/300x300/7548818_nep3GfrCp8W2S4eK1DmxVHN3kDrsQi9utxW0ROzCs7Y.jpg,9.3,38,https://fr.foursquare.com/v/cremilla/5b5cb6d3625a66002c2fc67a,Cremilla,Glace,"Via di Porta Castello 39, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/495898723_5L8EuhT9_8yxgf728JBfjFBAedCm0QG36x3gkjRpRM-4lYN8ZKXtfuVy0QE8eShyGloyz-Nf9.jpg,"Delph I. • Février 22, 2019",Delph I.
"Jeremy H. • Mars 10, 2016
Très bel obélisque au milieu de la ville historique de Rome (et du Colisée) à....vaut le détour",https://fr.foursquare.com/jhertmans,https://fastly.4sqi.net/img/general/300x300/10034344_R69GyJV-ZZjca-ZFSJiNcKLtcITzR4mp1zJGrTzRvD8.jpg,9.3,39,https://fr.foursquare.com/v/zuil-van-trajanus/4adcdac9f964a520ff5321e3,Colonne Trajane,Monument,"Piazza Foro Traiano, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/21853328_Mf80yAE8_1IKXF2wuBP3Gts4Q6CByKKXYsy9tm8kzSPLhsIdx2prAhoeamdnD1sFlQGs9c4Jl.jpg,"Jeremy H. • Mars 10, 2016",Jeremy H.
"Iliass E. • Août 24, 2016
Cadre sympa et glaces raffinées. Passage obligé à Rome.",https://fr.foursquare.com/iliasse6209607,https://fastly.4sqi.net/img/general/300x300/11461110_aCjHoYczIsjdgQlQmBBno4FWM49bVZLHFokPMt1e53s.jpg,9.3,40,https://fr.foursquare.com/v/venchi/4df3880c7d8b18e1722f3125,Venchi,Glace,"Via della Croce 26/26, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/325386520-ZWCIBCINOOUAUIGR.jpg,"Iliass E. • Août 24, 2016",Iliass E.
"Manon C. • Juillet 1, 2019
Endroit au top pour manger sur le pouce !",https://fr.foursquare.com/manonc7534778,https://fastly.4sqi.net/img/general/300x300/431945_veVJVgF4ebduvHc8lajMLp4qKphE87SPK2PB16MLPV0.jpg,9.3,41,https://fr.foursquare.com/v/il-panino-ingegnoso/5516b0b9498efa5147ff8430,Il Panino Ingegnoso,Sandwicherie,"Piazza di Pietra, 35, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/127335698_w2B01LQP_i8S9gqd9DL5mgsULvwCVMTeKfmufTKffVQVVSX_iJKc6UsGfp3A6nRvMun0Z_aX9.jpg,"Manon C. • Juillet 1, 2019",Manon C.
"Jan F. • Juin 14, 2016
Beautiful. Especially romantic at night.",https://fr.foursquare.com/jantasticme76,https://fastly.4sqi.net/img/general/300x300/11630666_txWEjfOcRLdhEm6xZg7QRnVqlGifjUJqNF2iGlIBWRI.jpg,9.3,42,https://fr.foursquare.com/v/ponte-vittorio-emanuele-ii/4adcdac9f964a5200b5421e3,Ponte Vittorio Emanuele II,Pont,"Ponte Vittorio Emanuele II, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/62002806-VINURIQAB0DDJGC4.jpg,"Jan F. • Juin 14, 2016",Jan F.
"Pierre B. • Novembre 7, 2014
Magnifiques ruines.",https://fr.foursquare.com/pierre_besses,https://fastly.4sqi.net/img/general/300x300/7180262_X4gVtU29vodRhOcPq1gSGhDAfENOFe1wNeRzlloWzj4.jpg,9.3,43,https://fr.foursquare.com/v/palatino/4bffa730daf9c9b61579faef,Mont Palatin,Site historique et protégé,"Via San Gregorio 30, Rome",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/43571501-J0F10BMRJ2PHVNFB.jpg,"Pierre B. • Novembre 7, 2014",Pierre B.
