Titre,image,note,venueindex,champ,champ1,catégorie,prix,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
"Grønnegårdsvej 15 (Thorvaldsensvej), Frederiksberg",https://fastly.4sqi.net/img/general/600x600/81887904_FectiGhedcNwvOMBILCeBDJFyKMPfS9ZSPlVIdca41o.jpg,9.3,11,https://fr.foursquare.com/v/landboh%C3%B8jskolens-have/4b9e65ecf964a5201fe036e3,Landbohøjskolens Have,Jardin,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/40829472_l6ehLc1Q_8oVwBHt40noyiEbWXbX7pYPwsHEnINCpgh55J_xgjKGCmnQhBpQgF7yf1bjvfOZo.jpg,"Murat • Septembre 14, 2014
A very hidden park with a small fountain, where having a picnic or dun bath is really nice.","Murat • Septembre 14, 2014",https://fr.foursquare.com/drmrtyldrm,Murat
"Nyhavn (Kongens Nytorv), Copenhague",https://fastly.4sqi.net/img/general/600x600/11890746_9m5xczGUYIG6CXbUbaC-TTYERed5RndTy01sNpfM0Vo.jpg,9.3,12,https://fr.foursquare.com/v/nyhavn/4adcdafdf964a520b05d21e3,Nyhavn,Port / Marina,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/12808646-SKMBYEBBER3UAV2M.jpg,"Warren • Septembre 25, 2015
Lieu historique de la ville, très bel endroit. À visiter aussi bien en journée qu'en soirée.","Warren • Septembre 25, 2015",https://fr.foursquare.com/wrnblvc,Warren
"Rentemestervej 94, st. tv., Copenhague",https://fastly.4sqi.net/img/general/600x600/80674_wrIRt9jC1mlaZ-mXiDMKE8fQi-EQ4Wdwfd-ADH2JVbw.jpg,9.3,13,https://fr.foursquare.com/v/behov/5725cdb1498e81b004ed8689,Behov,Pizza,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/123110877-ENUJIL1GEV1DH3CD.jpg,"Bjorn d. • Janvier 20, 2019
Magic mix of great beer and yummy pizza!","Bjorn d. • Janvier 20, 2019",https://fr.foursquare.com/bjornd5147880,Bjorn d.
"Søborg Hovedgade 34, Søborg",https://fastly.4sqi.net/img/general/600x600/13678926_m0rrSPhoaobAQ6HAEYOYFV7trK7hFnfHVbMenUUaBB0.jpg,9.3,14,https://fr.foursquare.com/v/ismageriet/57614b40cd105ab537a154dc,Ismageriet,Glace,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/353377757_2zQF0k5u__MosPLqL157cgyYq9ZoZSXGQ2w34h2fTpw_h1QvubIFczxzVdekUctniYYPPmDmW.jpg,"Graziela • Juillet 3, 2017
Best ice cream in Dk, try the Bergamot tart flavour!","Graziela • Juillet 3, 2017",https://fr.foursquare.com/graziela6636652,Graziela
"Roskildevej 1 (Pile Allé), Frederiksberg",https://fastly.4sqi.net/img/general/600x600/619064_JM0bJk-NTDT9B3cseqOsl7IDINXplUkxZ7H84ip7TWs.jpg,9.3,15,https://fr.foursquare.com/v/s%C3%B8ndermarken/4b1cb9fdf964a520440924e3,Søndermarken,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/7129960-II2QILA5L0L3H4VO.jpg,"Katya K. • Mai 20, 2014
Lovely green park with loads of birdies and squirrels. Bring your dog & watch zebras for free :-)","Katya K. • Mai 20, 2014",https://fr.foursquare.com/katyak2866915,Katya K.
"Østergade 61 (Amagertorv), Copenhague",https://fastly.4sqi.net/img/general/600x600/68741860_YvL4svxbaTM6L37D2OIDiulT4tseAfiUYkRTFIQfnXs.jpg,9.3,16,https://fr.foursquare.com/v/hay-house/4b9b8723f964a520320d36e3,HAY House,Magasin d'ameublement et de décoration intérieure,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/12808646-SKMBYEBBER3UAV2M.jpg,"Warren • Septembre 27, 2015
Un incontournable pour les fans de cet éditeur de meubles scandinaves !","Warren • Septembre 27, 2015",https://fr.foursquare.com/wrnblvc,Warren
"Ved Stranden 10, Copenhague",https://fastly.4sqi.net/img/general/600x600/40829472_Uh9NuBsqg_87Skz1SeQMAhdZvJIvUlHE6mn4XOsmzf4.jpg,9.3,17,https://fr.foursquare.com/v/ved-stranden-10--vinhandel--bar/4afd9d87f964a520192922e3,Ved Stranden 10 - Vinhandel & Bar,Bar à vins,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/6253378_liolPs22_jTI0gnFFxOOenHvBADGdbujsTswZmMPZFRV_mZoAYUMFlKL-sZcyIy6cJ4pSs-jv.jpg,"Courtney D. • Septembre 23, 2017
They were very willing to help with a Wine selection and the meat and cheese plate was very yummy.","Courtney D. • Septembre 23, 2017",https://fr.foursquare.com/courtned7146169,Courtney D.
"Nyborggade 17, Copenhague",https://fastly.4sqi.net/img/general/600x600/292434_KnVCdYmgkU3Q06XzNcj1xpPUgnPZfYufipi9wp5ouu0.jpg,9.3,18,https://fr.foursquare.com/v/%C3%B8stre-gasv%C3%A6rk-teater/4adcdb01f964a520985e21e3,Østre Gasværk Teater,Théâtre,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/53317646-WFNOIPXM4VVE4HI2.jpg,"Jesper E. S. • Décembre 19, 2016
A great building for a theater! And their pre-show dinner is highly recommendable!","Jesper E. S. • Décembre 19, 2016",https://fr.foursquare.com/jespersiig,Jesper E. S.
"Sønder Boulevard 53, Copenhague",https://fastly.4sqi.net/img/general/600x600/32666247_ZO6LOkhCSutfovoiMva_YWiz9QPTyt6Sg4WZj4p4vX0.jpg,9.3,19,https://fr.foursquare.com/v/kihoskh/4b390912f964a520ba5425e3,Kihoskh,Magasin de vente de bière,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/206381182_FuWHyjAu_RFk23icJh-z0wsBcFeZ6Jz7V58vEEmOd17Gf7qEZi9WZHngcWXXzcde8Uf5cHYmw.jpg,"Sigrid R. • Juin 25, 2016
Everything is good here. Great magazines, great service and staff. Cool atmosphere!","Sigrid R. • Juin 25, 2016",https://fr.foursquare.com/sigridr2347097,Sigrid R.
"Øster Farimagsgade 2B, Copenhague",https://fastly.4sqi.net/img/general/600x600/17921382_11p00TqIjDQAB4AmN37bY8vB_zielHLmM2PMzF7CQxc.jpg,9.3,20,https://fr.foursquare.com/v/botanisk-have/4adcdafdf964a520db5d21e3,Botanisk Have,Jardin botanique,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/79474229-SIY3SOAKWCD4YXLK.jpg,"Laure R. • Août 8, 2014
Sublime jardin botanique","Laure R. • Août 8, 2014",https://fr.foursquare.com/laurer2109908,Laure R.
"Rømersgade 18 (Rømersgade og Linnésgade), København K",https://fastly.4sqi.net/img/general/600x600/18610429_Hvz1tx2R724Zs5r4WmzbcCZeVtIDcxbbhFY0nFP80Kc.jpg,9.3,21,https://fr.foursquare.com/v/torvehallerne/4d6e236f24b56ea8bd92fbfb,Torvehallerne,Espace de restauration,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/93054214-DAJGUVZSHRKWGOUF.jpg,"G M. • Mai 2, 2015
Un marché local avec beaucoup de choix. Le seul lieu où on peut découvrir tous les produits de qualité de la ville et d'inspiration Danoise.","G M. • Mai 2, 2015",https://fr.foursquare.com/gm1705812,G M.
"Viktoriagade 8 B-C, Copenhague",https://fastly.4sqi.net/img/general/600x600/13930355_ImQouUhGAHN8DGzyBTfDzBZmiTwEg2eCjGbMyzEnqOo.jpg,9.3,22,https://fr.foursquare.com/v/mikkeller-bar-viktoriagade/4bdf0ac9be5120a162abfe70,Mikkeller Bar Viktoriagade,Bar à bières,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/54638988-TCROMU41AMDC5K2D.jpg,"Jérémie G. • Octobre 4, 2015
Houlala !! Que de choix dans ce bar où les bières sont brassées maison. Ici il y en a pour tous les goûts. Allez-y, vous trouverez votre bonheur !!","Jérémie G. • Octobre 4, 2015",https://fr.foursquare.com/jeremieg8956485,Jérémie G.
"Guldbergsgade 29 F, København N",https://fastly.4sqi.net/img/general/600x600/1322106_TZZMoXiCLwb9GeCdurD6hvGQTQ7O0FPh6CNM2sPsTX0.jpg,9.3,23,https://fr.foursquare.com/v/empire-bio/4ae9f3ccf964a520f2b721e3,Empire Bio,Cinéma,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2712675_A936nZFk_ZlMkd9cg1e_Udhb08G0UxIFBOFz4Cirj5VHXs-Bcf7T9XyXo3deY-B-zk3jYflg9.jpg,"Joe C. • Octobre 7, 2017
A nice little theatre that usually plays a more interesting lineup compared to the big chains. Also right next to one of the best bars in Copenhagen so... 👍🏼","Joe C. • Octobre 7, 2017",https://fr.foursquare.com/joey_cooper,Joe C.
"Rentemestervej 64, Copenhague",https://fastly.4sqi.net/img/general/600x600/776854_QfAr5138cfbLUhUrjHSxpZ1MWBSdeCYF-DpU3yzdPOY.jpg,9.3,24,https://fr.foursquare.com/v/kaffedepartementet/58e24db2e6160c31413d86eb,Kaffedepartementet,Café,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/80674_1259071843623.jpg,"Ronni Tino • Novembre 23, 2017
These guys are really passionate about their coffee - and the place is relaxing while excellent for getting some work done","Ronni Tino • Novembre 23, 2017",https://fr.foursquare.com/ronnitino,Ronni Tino
"Refshalevej 169B, Copenhague",https://fastly.4sqi.net/img/general/600x600/11420130_IrUsuK4fWq1k5IR5kuXzx-XeWt54HfCDstyq5KsXdTw.jpg,9.3,25,https://fr.foursquare.com/v/mikkeller-baghaven/576c329d498e8ede4fc7a1a0,Mikkeller Baghaven,Brasseur,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/435276911_bc3P9sM2_14U8IiljNAyb4iGu7QbCFXuOoDzrFZcLmqvaOsv3-6K2M54xbLNDFQIfH3Ctnabh.jpg,"Grete F. • Juillet 18, 2021
Best sour beer in Copenhagen","Grete F. • Juillet 18, 2021",https://fr.foursquare.com/gretef4386787,Grete F.
"Nybrogade 10, st., København K",https://fastly.4sqi.net/img/general/600x600/713844_HKj9r5mHbqdecl1DatekQMm8C_fciN4GoA1FhuXnFlE.jpg,9.3,26,https://fr.foursquare.com/v/ruby/4b446425f964a52077f425e3,Ruby,Cocktail,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/5091244-CG2TJE4HIFLSMC5Z.jpg,"Qayser • Juillet 5, 2016
Best cocktails I have had. Personalised service in a cosy, slightly quirky environment. Try the French Pearl.","Qayser • Juillet 5, 2016",https://fr.foursquare.com/qayser7347368,Qayser
"Søren Kierkegaards Plads 1, København K",https://fastly.4sqi.net/img/general/600x600/115077880_mn8ylUyccXL2mspBc5DzFVBhoWUo1x9brz7MrYwnVbY.jpg,9.2,27,https://fr.foursquare.com/v/det-kongelige-bibliotek--den-sorte-diamant/4adcdb01f964a520955e21e3,Det Kongelige Bibliotek - Den Sorte Diamant,Bibliothèque,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/12808646-SKMBYEBBER3UAV2M.jpg,"Warren • Septembre 27, 2015
Très belle bibliothèque.","Warren • Septembre 27, 2015",https://fr.foursquare.com/wrnblvc,Warren
"Jægersborg Dyrehave, Klampenborg",https://fastly.4sqi.net/img/general/600x600/568526_z-B3AUt96qiTVNOIjeNPlFzX1KScbfIlkAARHR1-SS8.jpg,9.2,28,https://fr.foursquare.com/v/dyrehaven/4bb99a7b98c7ef3b3a333202,Dyrehaven,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/13678926_261lD4DR_ZYCDAmoZ_I_IDpTu4AIIg2bppHbkhiKXJIyyxk2v7qH5L1VDSdBvrN5gCi2qfm6j.jpg,"Jeanette M. • Septembre 16, 2017
Still the greatest Copenhagen getaway. Walk, run, bike or picnic :)","Jeanette M. • Septembre 16, 2017",https://fr.foursquare.com/jeanettemayland,Jeanette M.
"Godthåbsvej 34B, Frederiksberg",https://fastly.4sqi.net/img/general/600x600/2528302_HewSXWRNXZbrfbJGlCRxu6yJj2OmRyxGbudEE16DQnI.jpg,9.2,29,https://fr.foursquare.com/v/the-coffee-collective/4fd89c20e4b04c778275e9f7,The Coffee Collective,Coffee Shop,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_girl.png,"Ellen • Janvier 23, 2016
Excellent coffee, high quality beans which have been well eoasted &brewed. Friendly staff&relaxed atmosphete.","Ellen • Janvier 23, 2016",https://fr.foursquare.com/ellen9982765,Ellen
"Enghavevej 40, Copenhague",https://fastly.4sqi.net/img/general/600x600/674901_BSBYCH-TdGrOwTB6VAEmqyLkNwVdac-_o0yZfbskJXw.jpg,9.2,30,https://fr.foursquare.com/v/store-vega/4adcdb01f964a520ae5e21e3,Store VEGA,Salle de concert,,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/40829472_l6ehLc1Q_8oVwBHt40noyiEbWXbX7pYPwsHEnINCpgh55J_xgjKGCmnQhBpQgF7yf1bjvfOZo.jpg,"Murat • Novembre 24, 2019
Very big concert area, and turns into a nightclub later with great dj music. Great for big events, groups. Perfect for people watching. Open until 3am.","Murat • Novembre 24, 2019",https://fr.foursquare.com/drmrtyldrm,Murat
"Thorshavnsgade 26, Copenhague",https://fastly.4sqi.net/img/general/300x300/138484837_ral3ftdQxFw5z_IxZgx60L6OYm_urFUVKx5akFd0vcQ.jpg,9.2,31,https://fr.foursquare.com/v/andersen-bakery/598d8ffbdec1d6471f1f83b0,Andersen Bakery,Boulangerie,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_boy.png,"Adam C. • Août 18, 2017
The Rhubarb pastry is unbelievable. Great croissant as well.","Adam C. • Août 18, 2017",https://fr.foursquare.com/acslater00,Adam C.
"Per Henrik Lings Allé 4, Copenhague",https://fastly.4sqi.net/img/general/300x300/61219489_S8GOG0rM_zESoz7PDEzjoua6VbiaV4PrB-s6RfIl0JA.jpg,9.2,32,https://fr.foursquare.com/v/geranium/4c9226d0ae45224b83a2ed97,Geranium,Scandinave,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/YXOO44WR3JPJRZSO.jpg,"Chris N. • Mars 28, 2013
Full lunch menu is amazing, lovely place and great service and overall gastronomic experience","Chris N. • Mars 28, 2013",https://fr.foursquare.com/cgnservices,Chris N.
"Rådshusstræde 13, Copenhague",https://fastly.4sqi.net/img/general/300x300/575_4qr_8xZbuhTqfJG20ATd1nRVt4f-KpiOB2yIZzzYaZ0.jpg,9.2,33,https://fr.foursquare.com/v/bastard-caf%C3%A9/4bbdf94f07809521ae34db91,Bastard Café,Salle de jeux en ligne,,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/448131433_-K7f9D8G_bcJXbv6Krg5iiZsAkRQJ5dSUurY1k8xUHM8UuEp4rnymlPkva1lgA-tBpH9b56kx.jpg,"Ekatherina P. • Février 12, 2018
Great cafe with cozy atmosphere, I love their books and sitting is very comfy.","Ekatherina P. • Février 12, 2018",https://fr.foursquare.com/ekatherp6555577,Ekatherina P.
"Amager Strandvej 301, Kastrup",https://fastly.4sqi.net/img/general/300x300/438626400_yR01c-UOHKDkW3unmNK_2W6GFRufpperJPjf030IRkE.jpg,9.2,34,https://fr.foursquare.com/v/kastrup-s%C3%B8bad/4bec01b26295c9b687548808,Kastrup Søbad,Parc aquatique,,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/40PI15LFJYXAZQQC.jpg,"Anton A. • Mai 5, 2013
Great place to swim and bath","Anton A. • Mai 5, 2013",https://fr.foursquare.com/antona8122672,Anton A.
"Absalonsgade 12, Copenhague",https://fastly.4sqi.net/img/general/300x300/81476_wP37bENfKYInQdi0PK6bjIx5WbGTLWXaydKO6z1Vc0o.jpg,9.2,35,https://fr.foursquare.com/v/skydebanens-legeplads/4ba60f60f964a520f23039e3,Skydebanens Legeplads,Terrain de jeu,,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_girl.png,"Francisca N. • Avril 17, 2016
The best playground in Cph for kids and their grownups. Bring a ball, a towel during summer, get coffee and kids meal boxes at Sticks and Sushi around the corner (or bring!) and stay all day.","Francisca N. • Avril 17, 2016",https://fr.foursquare.com/francisn3946909,Francisca N.
"Nørre Farimagsgade 41 (Ahlefeldtsgade), Copenhague",https://fastly.4sqi.net/img/general/300x300/795_E6PEdAE_0NulgN7RjNi9afnKwn2ACEy2dvfSg5vehNo.jpg,9.2,36,https://fr.foursquare.com/v/h%C3%B8st/509bbd8fe4b0eaba8f37f375,Høst,Scandinave,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/363193854_xi8Nx9a7_b6tj1IW2Smq2GNl_JbBA50x1Hei_EYvRqavVHMxzgUSnb1KP64uxyqrT-dhJcDzf.jpg,"Arnaud P. • Mai 24, 2017
Menus en 3 ou 5 plats avec accord mets et vin. C'est excellent , on a passé une super soirée. Réservation obligatoire","Arnaud P. • Mai 24, 2017",https://fr.foursquare.com/arnaudp7926295,Arnaud P.
"Åboulevard 27, Frederiksberg",https://fastly.4sqi.net/img/general/300x300/864894_2ciqr66id5arUNnvRLRP66LZN1ZDeFL-FD71xJs4xAQ.jpg,9.2,37,https://fr.foursquare.com/v/himmeriget/56b7bc79498ee69b034210b0,Himmeriget,Bar à bières,,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/ITTEYILY20VWOR3T.jpg,"David O. • Juin 7, 2019
One of the best places for craft beer in Copenhagen. Always something new to try on tap and even more to choose from among their canned beer.","David O. • Juin 7, 2019",https://fr.foursquare.com/davido7687354,David O.
"Guldbergsgade 29F, Copenhague",https://fastly.4sqi.net/img/general/300x300/779786_InX81PSf6r9SG9k_rY3KsfaO8b3CYDrtsK63Ym5OXYI.jpg,9.2,38,https://fr.foursquare.com/v/brus/56e2ad56498e053777005750,BRUS,Bar à bières,,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/79674266-Q1PW3BWBBYE443T0.jpg,"Marina Noelia C. • Avril 1, 2018
Cool atmosphere, generous food portions and great beer selection. Good for groups and dates","Marina Noelia C. • Avril 1, 2018",https://fr.foursquare.com/marinanc9614908,Marina Noelia C.
"Linnesgade 17, Stade C1 og D1 (Torvehallerne), Copenhague",https://fastly.4sqi.net/img/general/300x300/73702899_j1rYWfNO-66_Wrvk6d8yi7pnVGWVjcR4c_-DK55IylA.jpg,9.2,39,https://fr.foursquare.com/v/the-coffee-collective/4e608e18d4c06542aa1be67c,The Coffee Collective,Coffee Shop,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/101531972-UWSODTLTS4GFBVZD.jpg,"Marie P. • Mai 18, 2016
Excellent café, qu'on peut savourer sur place ou à emporter. On peut également en acheter en grains ou moulu pour chez soi. Un bonheur.","Marie P. • Mai 18, 2016",https://fr.foursquare.com/mariep3512145,Marie P.
"Høkerboderne 16, Copenhague",https://fastly.4sqi.net/img/general/300x300/77944347_IvBMbw5ZPQNlS784O1bp6u4orPtqG6UpsAgN02dEimQ.jpg,9.2,40,https://fr.foursquare.com/v/prolog-coffee-bar/56dd58fa498e0bcb2f1edde6,Prolog Coffee Bar,Coffee Shop,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/57746506-KDPACYLJZRP2HOMS.jpg,"Thiago M. • Décembre 30, 2017
Really nice place. Great coffee and staff. The tea is also nice","Thiago M. • Décembre 30, 2017",https://fr.foursquare.com/thiagom3017807,Thiago M.
"Nørre Voldgade, Copenhague",https://fastly.4sqi.net/img/general/300x300/271126_xxOJE1pL9p7zPP59JwGSQimX2JxDtMrYczkLzN1pifA.jpg,9.2,41,https://fr.foursquare.com/v/%C3%B8rstedsparken/4adcdafdf964a520c45d21e3,Ørstedsparken,Parc,,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/146804695-1CZUYKZ1UAAOEROK.jpg,"Jordi F. • Novembre 25, 2015
I love this park and its lake. The is a great bar perfect to have a beer / glass of wine with views to the lake. There are a lot of children and mothers walking their trolleys. It is super romantic!","Jordi F. • Novembre 25, 2015",https://fr.foursquare.com/jordifakiani,Jordi F.
,https://fastly.4sqi.net/img/general/300x300/40829472_GaXJAmOAK9EyaWmA8GvZs7yhGUErNiJHMXW8X_2PfnM.jpg,9.2,42,https://fr.foursquare.com/v/nimb-bar/5262e7b811d2a2759bd3e317,Nimb Bar,Cocktail,$$$$,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/4831100-0OPAZ0BUH2DO0EI2.jpg,"annlou • Mars 22, 2017
Beautiful place to have a relaxing and quite moment with a drink or a glass of wine when the weather outside is worth nothing. Excellent service and this evening with the sweetest waiter.","annlou • Mars 22, 2017",https://fr.foursquare.com/annlou3408188,annlou
"Frederik V's Vej 4, København Ø",https://fastly.4sqi.net/img/general/300x300/wN3UVSiWvKKzAYs7xP14ycH0HAuZ7QRapoWu2rmbthE.jpg,9.2,43,https://fr.foursquare.com/v/t%C3%A5rnlegepladsen/4e87044d722e3a3ed8f30e87,Tårnlegepladsen,Terrain de jeu,,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/NT42X0BD0UCTC45A.jpg,"Ole Søvsø N. • Décembre 20, 2012
One of the best playgrounds in Copenhagen...","Ole Søvsø N. • Décembre 20, 2012",https://fr.foursquare.com/olesvsn9918553,Ole Søvsø N.
