Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Operahuset,https://fr.foursquare.com/v/operahuset/4b0588b7f964a5200ed622e3,https://fastly.4sqi.net/img/general/600x600/418328455_C7QVjlK8U5XN8Bp4XS-E7fo1f_RQqxoPK57cv2tGowk.jpg,9.2,11,Opéra,$$$$,"Kirsten Flagstads plass 1, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/41061414-P2U2Y1EEAIRSTS4Q.jpg,"Asma A. • Septembre 11, 2016
Montez sur le toit pour voir la vue sur tout Oslo .","Asma A. • Septembre 11, 2016",https://fr.foursquare.com/asmaabdelmalek,Asma A.
Operataket,https://fr.foursquare.com/v/operataket/51eea8c3498e74a238869864,https://fastly.4sqi.net/img/general/600x600/83085063_Azf-ecH3kXSzej_emo1LfG7S0A4Xl_XQ8n_a37D7KWo.jpg,9.2,12,Belvédère / Panorama,,"Kirsten Flagstads plass 1, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/142228-OTAVIHUMKIDNVHV2.jpg,"Marius W. • Novembre 3, 2015
A classic for architecture and public space buffs alike, the Snohetta-designed Opera House slopes out of water and opens up to an amazing roof plaza. Check inside for Eliasson art + wood details.","Marius W. • Novembre 3, 2015",https://fr.foursquare.com/mariusw9392809,Marius W.
Tronsmo Bøker & Tegneserier,https://fr.foursquare.com/v/tronsmo-b%C3%B8ker--tegneserier/4b310b81f964a520e1fe24e3,https://fastly.4sqi.net/img/general/600x600/8612430_s3oyBb9-7zcVwbkNEpezrQVndeJwdu0z7u7kmcq64CY.jpg,9.2,13,Librairie,,"Universitetsgata 12, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/RPDXDBCYQA5ZYVZI.jpg,"hanneku • Mai 15, 2014
One of a kind book store in Oslo. The staff is super, lots of quirky stuff and great books on music.","hanneku • Mai 15, 2014",https://fr.foursquare.com/hannevel,hanneku
Lofthus Samvirkelag Tranen,https://fr.foursquare.com/v/lofthus-samvirkelag-tranen/55efd9b5498efe7ef5adcfd3,https://fastly.4sqi.net/img/general/600x600/57974822_6l6gHgMddEFaChL2XuFIAlfXHV_aOsrRVCuw7DE5CH8.jpg,9.2,14,Pizza,$$$$,"Waldemar Thranes gate 70, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/174763712_vlWBqXVN_hRUSjy9VQpr1AIpFXEesEyDzuCCnXNOrBW4wA8mgMcFcyNj5xVG4cWR6sF_0j8aH.jpg,"Mads S. • Août 15, 2016
Best pizza I've tried in Oslo. Try the N'Duja if you enjoy spicy pizza.","Mads S. • Août 15, 2016",https://fr.foursquare.com/madss4243470,Mads S.
Jacobs på Holtet,https://fr.foursquare.com/v/jacobs-p%C3%A5-holtet/4b48a481f964a520565126e3,https://fastly.4sqi.net/img/general/600x600/5079466_y_oxeVDtc0fg6SA6rwhfhnieRhkQmbohnONqATxN0wU.jpg,9.2,15,Épicerie,,"Ekebergveien 145, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/5561655-NEMGOJ2BS0NWI4TV.jpg,"Olli N. • Mai 13, 2011
excellent training kitchen. Perfect for team events.","Olli N. • Mai 13, 2011",https://fr.foursquare.com/ollin8832295,Olli N.
Åpent Bakeri,https://fr.foursquare.com/v/%C3%A5pent-bakeri/4b079f1cf964a52008ff22e3,https://fastly.4sqi.net/img/general/600x600/4286910_H7u_mvVbI_8Y4xcHyBUkkjRZMgFD4zRmikewXB6nOYI.jpg,9.2,16,Boulangerie,$$$$,"Åsengata 42 (Hans Nilsen Hauges gate), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/JS1QKMFNZMDYWEMI.jpg,"Erlend S. • Février 5, 2015
Everything is good! Bakery in the daytime, awsome pizza in the evening.","Erlend S. • Février 5, 2015",https://fr.foursquare.com/erlends3250634,Erlend S.
Det Andre Teatret,https://fr.foursquare.com/v/det-andre-teatret/4e876afa29c2b1ce5b8bda21,https://fastly.4sqi.net/img/general/600x600/159881134_f-4VSAnyC9Xz3OIokIaGBr_9hlGNbA_DIM59VIuD3EE.jpg,9.2,17,Arts du spectacle,,"Ivan Bjørndalgate 9, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2043435-IGY4XUYC4B2CROY2.jpg,"Torunn H. • Octobre 16, 2016
Hidden gem! The place to go for a good laugh and a beer.","Torunn H. • Octobre 16, 2016",https://fr.foursquare.com/torunnh6588940,Torunn H.
Paradis Gelateria,https://fr.foursquare.com/v/paradis-gelateria/4fafbba6e4b08a88c639cc13,https://fastly.4sqi.net/img/general/600x600/23052420_R535FSHJzPqRgvZT2FgMjtlzcQaVqIP9qHQkfOZN8Dw.jpg,9.2,18,Glace,$$$$,"Tjuvholmen allé 6, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/76471_FROunVUC_0So4BqUwAXk8b7ZsDGSQVlhKI0lTGk-WYnoQJyV8TyoViVxb_9Nr8GhwhOmL1y1g.jpg,"Gregory F. • Août 21, 2018
This place is amazingly delicious. Go for chocolate gelato with a tart sorbet to match.","Gregory F. • Août 21, 2018",https://fr.foursquare.com/gregorysfisher,Gregory F.
Kobberhaughytta,https://fr.foursquare.com/v/kobberhaughytta/4d27009c55a8b60c6d85bfc0,https://fastly.4sqi.net/img/general/600x600/1832557_S4hp_bAgcrlUrtCp5UotjongpCUtkEuYqrlRCyTmyRk.jpg,9.2,19,Pavillon,,"Sakariasveien 145, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/VDRXVPVXKVARSDAP.jpg,"P.O.Box: MOSCOW • Avril 23, 2015
Очень комфортное место с прекрасным чистым воздухом. Есть неплохое кафе.","P.O.Box: MOSCOW • Avril 23, 2015",https://fr.foursquare.com/p.o.boxm4257969,P.O.Box: MOSCOW
Pust,https://fr.foursquare.com/v/pust/56d9a685498e3643a8c3bed8,https://fastly.4sqi.net/img/general/600x600/32794203_-Cfvpk65R60m66WFlTquW26v2-ZRXWsWgrpT69hXSt0.jpg,9.2,20,Café,$$$$,"Slemdalsveien 1, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/CNSD53DXCVSV5ZKI.jpg,"Christopher L. • Février 14, 2017
One of the best cafes to work from. Lots of space and nice spots to sit.","Christopher L. • Février 14, 2017",https://fr.foursquare.com/christol2904407,Christopher L.
Cinemateket,https://fr.foursquare.com/v/cinemateket/4b0588b7f964a520f1d522e3,https://fastly.4sqi.net/img/general/600x600/126160431_bVEt6eW6LwN0Xpik8K7X4Fjr3zYq2J6TKX5X2BZP4Uw.jpg,9.1,21,Cinéma,,"Dronningens gate 16, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/PDWUQFO5FNPQZRDU.jpg,"Rowan W. • Octobre 19, 2014
Great cinema. Bar down stairs is very hang-out-able-in.","Rowan W. • Octobre 19, 2014",https://fr.foursquare.com/rowanwernham,Rowan W.
Himkok,https://fr.foursquare.com/v/himkok/552ea05d498ef128337df67a,https://fastly.4sqi.net/img/general/600x600/91124_JEKVhNu7qFJIkDQtdLpYwgvKzeYPHKfixLHQ-Wa0CbU.jpg,9.1,22,Cocktail,$$$$,"Storgata 27 (Youngs gate) (Young Gate), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/CS3GNIHBPGATILWB.jpg,"Eigil M. • Juillet 31, 2016
Back again at Himkok, and the place is probably the best cocktail bar I've been to in Oslo. Good job with everything. Menu, style, taste and service too","Eigil M. • Juillet 31, 2016",https://fr.foursquare.com/eimoe,Eigil M.
Oslo Mekaniske Verksted,https://fr.foursquare.com/v/oslo-mekaniske-verksted/4b12bc47f964a520118d23e3,https://fastly.4sqi.net/img/general/600x600/55861708_zFDE0jL0yGEq9eZMezx8pPv8mpHuL1EYXwDw7WHF7fY.jpg,9.1,23,Bar,$$$$,"Tøyenbekken 34 (Joachim Nielsens gang), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/127983969-WMEP4NMVKV5EDQGP.jpg,"Marco V. • Mai 7, 2015
Great bar in Oslo. Not cheap, but they allow you to bring your own food. Grab some take-out somewhere and enjoy!","Marco V. • Mai 7, 2015",https://fr.foursquare.com/mvoormolen,Marco V.
The Thief,https://fr.foursquare.com/v/the-thief/4f02b3cb7ee5f14f3b224194,https://fastly.4sqi.net/img/general/600x600/733477_wqONor_flMIR2p_Nf3iuS85DHZTrJlznf6mnMJABNTw.jpg,9.1,24,Hôtel,,"Landgangen 1, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/15518888-BPC1MRC33DK5ZY5Z.jpg,"Nada O. • Juillet 25, 2016
Loving this hotel, very contemporary its like walking into an art gallery. Great service and very helpful staff!! Beautiful area around the hotel with many options of restaurants, cafés and shops","Nada O. • Juillet 25, 2016",https://fr.foursquare.com/nadaobaid,Nada O.
Norsk Folkemuseum,https://fr.foursquare.com/v/norsk-folkemuseum/4b0588b5f964a52062d522e3,https://fastly.4sqi.net/img/general/600x600/430127740_ZSXsIzQAA-l0FawkbjL_dFv-aXKBmdsHUj4fqobL6wY.jpg,9.1,25,Musée d'histoire,,"Museumsveien 10, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/92524200-330LEH3U5B3G2IZD.jpg,"Laur'e B. • Octobre 20, 2014
Parc très agreable pour ce promener, des batiments intéressant. wifi dispo","Laur'e B. • Octobre 20, 2014",https://fr.foursquare.com/laureb6656423,Laur'e B.
Cru,https://fr.foursquare.com/v/cru/4b87f26df964a52071d431e3,https://fastly.4sqi.net/img/general/600x600/275465_jWs_Il9fFNyCGHjsVtiOtM0Hq19i0IlQNc--xX_bPYE.jpg,9.1,26,Scandinave,$$$$,"Ingelbrecht Knudssøns gate 1 (Industrigata), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/115148044-BOF4WE4VKGFDYYXS.jpg,"LinnK E. • Avril 10, 2015
Fantastic food and great atmosphere! I have been here a couple of times now and love it. Norwegian food with classic French influence. Superb wine list and service.","LinnK E. • Avril 10, 2015",https://fr.foursquare.com/linnke2643702,LinnK E.
Scandinavian Photo,https://fr.foursquare.com/v/scandinavian-photo/4b07acddf964a52069ff22e3,https://fastly.4sqi.net/img/general/600x600/4822257_x6gvsKRwalzUwa1jDHirC_X1don3qaqPZI1lvnckR4w.jpg,9.1,27,Magasin de photo,,"Møllergata 4 (Linaaes Gate), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/2RW2HMYS2CTEBZDK.jpg,"Liz V. • Novembre 27, 2011
The largest and best store for photo gear in Oslo","Liz V. • Novembre 27, 2011",https://fr.foursquare.com/lizvphotography,Liz V.
Perla,https://fr.foursquare.com/v/perla/5545182e498eb2d80a874f47,https://fastly.4sqi.net/img/general/600x600/20923693_CLiHxpHHNIjJhzTWcfebVmKpfYGaCG391loq3jnI4ak.jpg,9.1,28,Cocktail,$$$$,"Helgesens Gate 66, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/46910704-BABHBPUXWOMBV3SK.jpg,"Diana M. • Juin 23, 2015
One of the smallest bars I've visited, but hey - it's definitely a pearl! Charming for sure!","Diana M. • Juin 23, 2015",https://fr.foursquare.com/norwaydiana,Diana M.
Izakaya,https://fr.foursquare.com/v/izakaya/4f638ff1e4b087553c083641,https://fastly.4sqi.net/img/general/600x600/43366785_Wjmth4CWapTO2LO3OpYc1ja6dKgXAX4BS4T7nBo3YW0.jpg,9.1,29,Japonaise,$$$$,"St. Olavs gate 7, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/131579143-ZDAOQYCM1VRWMKAS.jpg,"Florent L. • Juin 15, 2015
Plats très bon. Prix raisonnable pour Oslo. Bonne carte de boissons Japonaises","Florent L. • Juin 15, 2015",https://fr.foursquare.com/florentl8598893,Florent L.
Fuglen,https://fr.foursquare.com/v/fuglen/4b509820f964a520aa2827e3,https://fastly.4sqi.net/img/general/600x600/17749100_WYidEX5B0fwcD77nIluHg50mlCWvX9sXHLNNvOrQqow.jpg,9.1,30,Coffee Shop,$$$$,"Universitetsgata 2 (Pilestredet), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/VF1X01SLEJP0KBSQ.jpg,"Alexandrine L. • Avril 14, 2018
Le barista ne savait pas quel café était dans son moulin. On aurait pu s’arrêter là mais on a même goûté l’expresso. Sans intérêt. Par contre ils vendent du café de pleins de torréfactions différentes","Alexandrine L. • Avril 14, 2018",https://fr.foursquare.com/alexandl1255222,Alexandrine L.
Norsk Teknisk Museum,https://fr.foursquare.com/v/norsk-teknisk-museum/4b0588b5f964a52079d522e3,https://fastly.4sqi.net/img/general/300x300/55249249_TZwk1KU9uPj8OtujV5KGIC_tKxO0wsi2GO6_sDZTCWM.jpg,9.1,31,Musée des sciences,,"Kjelsåsveien 143, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/95077497_aL341mj5_Amp1nSOEs8mCHA0gm2xGI9JHucdXw-Mt1Z_qWvG7SRtPc_wxO2uM81yEOhqhnh-T.jpg,"Guido G. • Janvier 31, 2015
Great museum, short train trip from the central station. Varied and interesting collection and many abilities to interact with the displays. Lots to see!","Guido G. • Janvier 31, 2015",https://fr.foursquare.com/guidog8418083,Guido G.
Nordvegan,https://fr.foursquare.com/v/nordvegan/58dfd449a37d7208fd86d15e,https://fastly.4sqi.net/img/general/300x300/27282_zUE2_hyJcLR8EmVxFco-uoUjC4P-miBio4wHJByOo70.jpg,9.1,32,Restaurant végétaliens et végétariens,$$$$,"Kristian IVs gate 15A, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/202180_bETwvvli_t41qkkhL2zH6Xao2BtdFj3MYH1QfgxB7b66bvlpy7nxLaVffYzzE3UhnpRbZgfFn.jpg,"Katja B. • Février 23, 2019
Tasty lasagne and peanut chocolate mousse.","Katja B. • Février 23, 2019",https://fr.foursquare.com/katjab1887764,Katja B.
Maaemo,https://fr.foursquare.com/v/maaemo/4d0907270ead8cfac12cf376,https://fastly.4sqi.net/img/general/300x300/170336234_1rXXTu6yTmy_Aq5npUjKE17oq67RUgADCwmCQ93p4c0.jpg,9.1,33,Scandinave,$$$$,"Dronning Eufemias gate 23 (Annette Thommessens Plass), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_girl.png,"Apollonie • Septembre 18, 2018
Very untraditional food and serving but it was very tasty. Thanks for great dinner.","Apollonie • Septembre 18, 2018",https://fr.foursquare.com/apolloni9872062,Apollonie
Jacobs Majorstuen,https://fr.foursquare.com/v/jacobs-majorstuen/5229dd0d11d2e092b2234a45,https://fastly.4sqi.net/img/general/300x300/1813168_FIPVnycr1pm9s67AoFC9lQLlnGwSfNxsu6QKtnVXNOc.jpg,9.1,34,Supermarché,,"Essendrops gate 9, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/4MBBQBKCU4T3JUL4.jpg,"Drazen P. • Mars 9, 2017
Lots of various products you won't find in other stores. Prices are bit higher than in other stores.","Drazen P. • Mars 9, 2017",https://fr.foursquare.com/drazenp8548492,Drazen P.
Holmenkollbakken,https://fr.foursquare.com/v/holmenkollbakken/4b0588b7f964a520fcd522e3,https://fastly.4sqi.net/img/general/300x300/18610429_ZP4WgHMUQJUfMZx47A17Da53pGeJDBRCDcHjtBzUEno.jpg,9.1,35,Stade,,"Kongeveien 5, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/81937954-0BDLCA2PTLDM0RZG.jpg,"Gwendoline B. • Août 24, 2015
A small wake from the subway, easy to find and the view is amazing.","Gwendoline B. • Août 24, 2015",https://fr.foursquare.com/vlafolle,Gwendoline B.
Stensparken,https://fr.foursquare.com/v/stensparken/4bc5f1fa51b376b0f6ae1a6f,https://fastly.4sqi.net/img/general/300x300/551574_BSpPmGU3phbtxlSb0Imee3EW2C2vHSCZZh1utpRW7pA.jpg,9.1,36,Parc,,"Pilestredet 81, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/12860831-VTV131ATVCQ2HKE3.jpg,"Amalie K. • Janvier 14, 2016
Great place to walk your dog! Most other dogs (&their owners) in the park are friendly and well behaved. There's also a dog run inside the park, where pooches can play safely off leash with each other","Amalie K. • Janvier 14, 2016",https://fr.foursquare.com/amaliek8776528,Amalie K.
TXOTX,https://fr.foursquare.com/v/txotx/57f53ed7498e23279caaed8e,https://fastly.4sqi.net/img/general/300x300/222366_2ZecE-icFLrF8qVjKcn-5sHvKv9GDf0ZJRbeHgjxhMs.jpg,9.1,37,Tapas,$$$$,"Trondheimsveien 2, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/86811528-KLS1FQ5IKJ0ZOZPJ.jpg,"Espen B. • Février 16, 2018
Very flexible staff, great food and super for a group og friends!","Espen B. • Février 16, 2018",https://fr.foursquare.com/espenb9606022,Espen B.
Gutta på Haugen,https://fr.foursquare.com/v/gutta-p%C3%A5-haugen/4b0588b7f964a5201dd622e3,https://fastly.4sqi.net/img/general/300x300/4614033_57OQYmybU1kLaA-k72MBFyLVePDl6uwlYl6SJvA76-g.jpg,9.1,38,Gastronomique,,"Ullevålsveien 45 (Waldemar Thranes Gate), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/8284299-Y3H0SDYACBW1HBVL.jpg,"Lucero V. • Août 15, 2014
Great soft serve! Get it with the caramel topping if they have it - seems they run out on occasion due to it being so popular and yummy.","Lucero V. • Août 15, 2014",https://fr.foursquare.com/luceroviktoria,Lucero V.
Crowbar & Bryggeri,https://fr.foursquare.com/v/crowbar--bryggeri/50c9de0be4b0b713c476623f,https://fastly.4sqi.net/img/general/300x300/3354105_D_WhL3WDZ1rdwSktNThgtrw0h-xCQ9jGTiHJew17Mgw.jpg,9.1,39,Brasseur,$$$$,"Torggata 32, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/60485531_D2TU4sEa_1Jl3lYnaA1oF4FayqzMJchoptId2ctOzP_is6clhXwj3fAvl0YkCymcyx0G-7t8G.jpg,"Martin J. • Mars 5
Great selection of their own beers. Tasty kebab on second floor as well.",Martin J. • Mars 5,https://fr.foursquare.com/martinj9658639,Martin J.
Akershus Festning,https://fr.foursquare.com/v/akershus-festning/4c790533bd346dcb60e1f3ef,https://fastly.4sqi.net/img/general/300x300/34488750_Oa2fsAwZlzYYBAopkF2jqzt1_lVeKahbDUs2HDnjwzE.jpg,9.1,40,Château,,"Festningsplassen, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/2766274-F0BQX5K3C1UNFQYF,"VisitOSLO T. • Juillet 4, 2011
Great view of the inner Oslo fjord & the islands, and Akers Brygge. Bring a picnicbasket!","VisitOSLO T. • Juillet 4, 2011",https://fr.foursquare.com/visitoslo,VisitOSLO T.
Tim Wendelboe,https://fr.foursquare.com/v/tim-wendelboe/4b51e2f1f964a520b75927e3,https://fastly.4sqi.net/img/general/300x300/78432483_GEmR592cILdIlCkqORD7RREkteshdaEN3_cWz88qmwo.jpg,9.1,41,Coffee Shop,$$$$,"Grüners gate 1 (Fossveien), Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/VF1X01SLEJP0KBSQ.jpg,"Alexandrine L. • Avril 14, 2018
Les boissons étaient pour la plupart très bonnes. La boutique est agréable, dommage qu’il n’y ait pas plus de places assises. Le service est courtois.","Alexandrine L. • Avril 14, 2018",https://fr.foursquare.com/alexandl1255222,Alexandrine L.
Sørenga sjøbad,https://fr.foursquare.com/v/s%C3%B8renga-sj%C3%B8bad/53c0f4fe498e2e581dceec59,https://fastly.4sqi.net/img/general/300x300/8371473_Rugho_0DvPaKCZiLRIHj1kWvAfra42oGSSHsQPQaVFE.jpg,9.0,42,Zone de baignade,,"Sørengkaia, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/3ZGU3WCU4DRNP3PF.jpg,"James M. • Août 13, 2015
Fantastic new urban beach. Plenty of space to sunbathe, there's a small beach for kids and swimming lanes if you're up for a serious swim. Great views of the fjord. All that's needed now is a cafe.","James M. • Août 13, 2015",https://fr.foursquare.com/jamesm4040893,James M.
Tøyenparken,https://fr.foursquare.com/v/t%C3%B8yenparken/4bf7dcd55efe2d7f759c6934,https://fastly.4sqi.net/img/general/300x300/4822257_fbg8NVBpP9njtHD66_AwZHtb1yx5CunQ00e3c5NJGCE.jpg,9.0,43,Parc,,"Jens Bjelkes gt, Oslo",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/24474196-WXQ03OIGHSEORCOJ.jpg,"Gjermund G. • Juillet 17, 2017
Well suited for running. Way less crowded than Sofienbergparken.","Gjermund G. • Juillet 17, 2017",https://fr.foursquare.com/gjermis,Gjermund G.
