Titre,Lien_du_titre,image,note,venueindex,catégorie,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Tower Bridge,https://fr.foursquare.com/v/tower-bridge/4ac518cef964a520f8a520e3,https://fastly.4sqi.net/img/general/600x600/15634848_0ujS0x9MVvcXVWVbYsO_mxf_NhgvTZffW_-gXA3v7-8.jpg,9.5,11,Pont,"Tower Bridge Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/93226361-J30BI01QHP0NHEAI.jpg,"Paul J. • Février 3, 2015
Ce pont est juste magnifique ! Sous le soleil avec un bon angle de vue, on peut prendre des photos magnifiques","Paul J. • Février 3, 2015",https://fr.foursquare.com/paulj8974579,Paul J.
Royal Botanic Gardens,https://fr.foursquare.com/v/royal-botanic-gardens/4ac518cef964a52002a620e3,https://fastly.4sqi.net/img/general/600x600/10366144_2zBB57G5DSK3N_CmNi_FFaoIrQwrgJyka1SyCd3n5WQ.jpg,9.5,12,Jardin botanique,"Kew Rd, Kew",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/465163887_0mMi9blV_Jwf8Dil4CpVonBmq8-BYbFwuGYJ8YgUaruOTtTLJ5Xnn-mVHvr9vfGFTTADkAr2b.jpg,"Anne C. • Mai 16, 2018
Jardin botanique immense qui abrite plusieurs serres, jardins de fleurs, bois, musées, lacs, cafés... entrée payante mais vaut le detour si vous passez la semaine a Londres et êtes fan de nature!","Anne C. • Mai 16, 2018",https://fr.foursquare.com/annec3025024,Anne C.
Regent's Canal (Kingsland Road),https://fr.foursquare.com/v/regents-canal-kingsland-road/53c6e986498ec2e0d33b2242,https://fastly.4sqi.net/img/general/600x600/37488124_LQiRwAr6lxlxOoV4hoCkz35CQs9C1rLQczFKRVNbc2c.jpg,9.5,13,Canal,Londres,Enregistrer ,https://fastly.4sqi.net/img/user/128x128/439107838_vxovTS--_jLCTU18TqS1KhGid9fIWLH8srFH6APDrfbfDLNIkfhdGnm5f15MEBQxIQoR4YjV9.jpg,"Jason Q. • Août 14, 2017
Really lovely to walk around and be by the water. Cute cafes and atmosphere. Can be a little scary to walk around at night - it's not well lit up with street lights.","Jason Q. • Août 14, 2017",https://fr.foursquare.com/jasonq5844447,Jason Q.
Royal Albert Hall,https://fr.foursquare.com/v/royal-albert-hall/4ac518e8f964a52075ab20e3,https://fastly.4sqi.net/img/general/600x600/41366735_d23Xo8arLYF_8_vWYioMpVd7Yn8QSsYixf8jJWZ-9ZU.jpg,9.5,14,Salle de concert,"Kensington Gore, Londres",Enregistrer ,,,,,
Golders Hill Park,https://fr.foursquare.com/v/golders-hill-park/4ac518cef964a5202fa620e3,https://fastly.4sqi.net/img/general/600x600/463030491_0imdE3JlLl6TWolcE2z-beCXmAuyWGCTa3eGLwJ_uM4.jpg,9.5,15,Parc,"West Heath Ave, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_boy.png,"Phillip M. • Juin 22
Lovely little park with some animals and a nice slide and other toys for the kids to enjoy including a sand pit. Worth taking a picnic if you go",Phillip M. • Juin 22,https://fr.foursquare.com/phillipm7210122,Phillip M.
Holland Park,https://fr.foursquare.com/v/holland-park/4ac518cef964a52027a620e3,https://fastly.4sqi.net/img/general/600x600/58494445_h9nub_3Whi-8i_4GvrZnM-mbU4bBWoNtpJRukEWQmOU.jpg,9.5,16,Parc,"Ilchester Pl, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/86380225-MXJLEPZ4PDMOIGYO.jpg,"Vittorio M. • Octobre 8, 2015
Parc trop cool avec un jardin Zen en plein milieux bien stylé!","Vittorio M. • Octobre 8, 2015",https://fr.foursquare.com/vittorim3935419,Vittorio M.
Princess of Wales Conservatory,https://fr.foursquare.com/v/princess-of-wales-conservatory/4c4c5adc9c8d2d7f33214d6c,https://fastly.4sqi.net/img/general/600x600/85063452_0NcOMJwZz7NDOne4nsHjcbQ79YCY19XQiWq0uhmEyQE.jpg,9.5,17,Jardin botanique,"Kew Rd, Surrey",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/24928408-1PVDNOMYAV2DPKJ4.jpg,"Alexander K. • Mars 15, 2015
Great experience, note that it closes at 5pm","Alexander K. • Mars 15, 2015",https://fr.foursquare.com/akhozya,Alexander K.
WatchHouse,https://fr.foursquare.com/v/watchhouse/62fb8c8fbfb8ca2188f33f44,https://fastly.4sqi.net/img/general/600x600/25063981_Zk4j6orT0sjSVXI2EwYVqwOucDByEEGfhegeTpqkuhk.jpg,9.5,18,Coffee Shop,"2-3 Medici Courtyard, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/16786130_cOuHJoa2_WY3iQjkkGjUv9B39jrzpR6YKUOXeN5HEGk8S9UOcKenhUZXoEat8S-a401wnrSaJ.jpg,"Al Faişal R. • Août 8
The Peruvian beans they use are exceptional, delivering a rich and flavorful experience. The seating area is also cozy and inviting, making it the perfect spot to enjoy your cup of coffee.",Al Faişal R. • Août 8,https://fr.foursquare.com/alfaisar3246584,Al Faişal R.
Borough Market,https://fr.foursquare.com/v/borough-market/4ac518eff964a52064ad20e3,https://fastly.4sqi.net/img/general/600x600/54572820_Sww7Nf7Oc7JFv7RBzW4n1AIxchlyOfzKTN4HEY0uX1k.jpg,9.5,19,Marché fermier,"Borough High St (Bedale St), Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/88449662-IMUQCIS30I3QKA4Y.jpg,"Aurélien B. • Août 25, 2014
Superbe Marché ! De très bon produits, que ca soit pour le fromages, les légumes, le pain ou encore la charcuterie. En Hiver on peut y déguster un bon vin chaud entre amis. Très agréable.","Aurélien B. • Août 25, 2014",https://fr.foursquare.com/aurelieb3502429,Aurélien B.
Richmond Park,https://fr.foursquare.com/v/richmond-park/4ac518cef964a520f3a520e3,https://fastly.4sqi.net/img/general/600x600/88628199_dKbRXpQVB-tqjvaK0qdOsMJQ7lbiMSO2PBepE7r7YOU.jpg,9.5,20,Parc,"Sawyer's Hill (Queen's Rd), Richmond",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/blank_girl.png,"Lucy H. • Juillet 11, 2015
There's so much space! Feels rural. There are deer. Grassy areas, woods, lakes, hidden stately homes, great cafés. Good for walking, cycling, playing or picnicking. Beware the dog/deer combination.","Lucy H. • Juillet 11, 2015",https://fr.foursquare.com/lucyh7764830,Lucy H.
Battersea Park,https://fr.foursquare.com/v/battersea-park/4ac518cef964a52015a620e3,https://fastly.4sqi.net/img/general/600x600/21369024_Ho0m9bxfKXU6v9Mf0Y8Zsf6rbzEX7PtE7uC1iISQ4Ss.jpg,9.5,21,Parc,"Albert Bridge Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/164532625-I4WDJ2USJ1CICBBG.jpg,"John H. • Avril 5, 2016
So many lovely things to see for free: art gallery, secluded lake, flower garden. Also, smooth tarmac circular road perfect for cycling/skating/jogging","John H. • Avril 5, 2016",https://fr.foursquare.com/johnh3100690,John H.
Phillips,https://fr.foursquare.com/v/phillips/5028d6e5e88907e1c5a3717b,https://fastly.4sqi.net/img/general/600x600/56848_Tntl7z2v5T0SDFn6_a3X4eIemHyxhnXqpKqIAppPiA4.jpg,9.5,22,Galerie d'art,"30 Berkeley Sq, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/452143119_kzPGm3ty_iQJI1VgPUh4vEZt3KuvBFhP0PzATDikHo_hJHw5st_AYaUYRL8wicLaburDzml1Z.jpg,"Amal A. • Juillet 13, 2019
The most expensive District in the world!!","Amal A. • Juillet 13, 2019",https://fr.foursquare.com/amala8191680,Amal A.
Clissold Park,https://fr.foursquare.com/v/clissold-park/4ad0960ff964a52094d820e3,https://fastly.4sqi.net/img/general/600x600/516320306_F8ofpQZP-80hRrUeW4DEkuEjf9Xz2h_VubMXNbsin84.jpg,9.5,23,Parc,"Church St (Green Ln), Stoke Newington",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/26160621_1UE7woFm_R5Rc9MdcJ_i4poehre9HsK1fn1bdvR6jloflxg4BTHchnklNysNO4Hu7VgOZFqdp.jpg,"Cyndie D. • Juin 10, 2018
Charming & peaceful park well maintained. Lovely café in the middle.","Cyndie D. • Juin 10, 2018",https://fr.foursquare.com/cyndiedr,Cyndie D.
The Lanesborough,https://fr.foursquare.com/v/the-lanesborough/4d9caa877958f04d0dba04fa,https://fastly.4sqi.net/img/general/600x600/589606165_soCjMb6HHHatBzUBms8arViX5z4ft0D6QyW_xdckvp0.jpg,9.5,24,Hôtel,"Hyde Park Cnr, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/52099185_rHNV51Bu_YEwYp3gt5dbfcYfyCC8HQQPSICwqPcTfLsF2KtSqHLWNIN0XLiGIyBBB-IHICvOK.jpg,"Lamia • Septembre 18, 2016
Cosy, friendly staff, good tea, highly recommended. They have a special millefeuille. Ask for it","Lamia • Septembre 18, 2016",https://fr.foursquare.com/lamia_dhm,Lamia
Palm House,https://fr.foursquare.com/v/palm-house/4bd2c54ba8b3a593107c685f,https://fastly.4sqi.net/img/general/600x600/79245632_dm1_DQVzJz4rrs6y5N-KAMqk48KHUtw7rt7O_Hs9j5Q.jpg,9.4,25,Jardin botanique,"Kew Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/132965882_ChUkPhEE_Kg-XMmL-qx2PGPjF6V-dDJ9P1rE8-LKKfEFhz75dpjbbzX8YUEPeoFcQdNTvcFSp.jpg,"Savannah P. • Mars 18, 2016
make sure to go upstairs and take a look from the balcony- the lighting is really nice right before closing. and don't miss the water lilies house right next to the palm house!","Savannah P. • Mars 18, 2016",https://fr.foursquare.com/savsavsavv,Savannah P.
The Queen's Walk,https://fr.foursquare.com/v/the-queens-walk/4dcfd3c9183899ddfaf59612,https://fastly.4sqi.net/img/general/600x600/35769236_hV5Cqf8qzun8p-IdKVBE4mPfqhBP-14LF07et3_ruV8.jpg,9.4,26,Belvédère / Panorama,"London Bridge to Tower Bridge, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/60258301-MRJW154QXZ3GUPU5.jpg,"Patchx • Décembre 7, 2020
Beautiful, a must if you are visiting the London area","Patchx • Décembre 7, 2020",https://fr.foursquare.com/ptchx,Patchx
The Century Kitchen,https://fr.foursquare.com/v/the-century-kitchen/4e14af2a31515b10e2c52f18,https://ss3.4sqi.net/img/categories_v2/food/default_512.png,9.4,27,Restaurant,"63 Shaftesbury Ave, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/GJCXH5T00D1RIP3U.jpg,"Stephen M. • Septembre 27, 2011
Brilliant food great value n nice people!","Stephen M. • Septembre 27, 2011",https://fr.foursquare.com/stephenm9720034,Stephen M.
Daunt Books,https://fr.foursquare.com/v/daunt-books/4ada57e0f964a520982121e3,https://fastly.4sqi.net/img/general/600x600/8108208_wyqvRhJfWB5mfmEmEPwPyakyZkBzmE65RP0wOlQQd0s.jpg,9.4,28,Librairie,"83 Marylebone High St, Marylebone",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/124873021-BOIBQF5S2CHKBK1Z.jpg,"Nino K. • Janvier 11, 2018
Amazing atmosphere, good selection of books, well presented. I really like travel books section. Very good choice.","Nino K. • Janvier 11, 2018",https://fr.foursquare.com/ninok4465444,Nino K.
Queen Mary's Gardens,https://fr.foursquare.com/v/queen-marys-gardens/4de207df1f6e3190cd069d18,https://fastly.4sqi.net/img/general/600x600/238465_qBq-HILPI6x9qp3Vos5npYJrfVlUCMxyHm2ZXADAWyg.jpg,9.4,29,Jardin,"Regent's Park, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/370534105-SPM2RZMEGTMF1PNK.jpg,"Laury D. • Novembre 20, 2016
Dommage que ce soit en hiver toutes les fleurs fanes mais tres beau parc .en été ca doit etre encore 10 fois plus beau","Laury D. • Novembre 20, 2016",https://fr.foursquare.com/lauryd3408681,Laury D.
The Hill Garden and Pergola,https://fr.foursquare.com/v/the-hill-garden-and-pergola/4ad3bc0af964a52005e620e3,https://fastly.4sqi.net/img/general/600x600/208276154_H-jCXBBNIVzXhr8GARpHKkOP_5gq4ZZOisoMC7pVpAA.jpg,9.4,30,Jardin,"Inverforth Close (North End Way), Londres",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/RETVVBZAOHJVNERX.jpg,"Maria S. • Février 23, 2016
Beautiful and tranquil place. Recommended! Bring your camera ☺","Maria S. • Février 23, 2016",https://fr.foursquare.com/scarymarys,Maria S.
Picturehouse Central,https://fr.foursquare.com/v/picturehouse-central/557f12cf498e2f025de8c7d0,https://fastly.4sqi.net/img/general/300x300/2626117_PCNKPgTaj9eZ9Esyh5wNQFas3qnWJCcsaBVXzOvUYqk.jpg,9.4,31,Cinéma,"Shaftesbury Ave (Great Windmill St), Soho",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/47463478-FNQEEBEV4WD4WBWY.jpg,"Lydia B. • Février 10, 2017
Amazing cinema. Great screens. Lovely bar, cafe and restaurants. Cosy feeling.","Lydia B. • Février 10, 2017",https://fr.foursquare.com/_lillil_,Lydia B.
Library Bar,https://fr.foursquare.com/v/library-bar/50b788d7e4b0c9f8dc77784d,https://fastly.4sqi.net/img/general/300x300/53151016_ACwu3--kR2nBbNWyMOZ-txpZ0JHa2J9bRRiQjg9Obto.jpg,9.4,32,Cocktail,"Hyde Park Corner, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/56672781_8W3EubFb_QMIyEL59JKsVsz77KH-gmBWIZ3gjl0RKqEU3rI-I-dMiWZjH45vHHW8POtpoqjYV.jpg,"Alexander D. • Mars 1, 2019
One of the best hotel bars in the world. Service, ambience, professionalism. You will not be disappointed.","Alexander D. • Mars 1, 2019",https://fr.foursquare.com/alexandd8319642,Alexander D.
Selfridges Food Hall,https://fr.foursquare.com/v/selfridges-food-hall/4bd462419854d13a0573ff4d,https://fastly.4sqi.net/img/general/300x300/9871923_BIFz2gW1d25-9snmzL2pVl-RhPGfzXhltUFomy2X1Ws.jpg,9.4,33,Espace de restauration,"400 Oxford St, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/1366794093_KPAyRa41_kaAatz1CBeOYrQezYzfk-3c3RKUDenVRfQ6DS98L3sIB0AZTgAdUr6PqWnROWgFC,"moshe s. • Avril 9, 2021
One of the good restaurant I have seen here. Service and delivery everything was perfect and on time. Note Moshe Strugano (Attorney - Moshe Strugano and Co Law firm) is your happy customer","moshe s. • Avril 9, 2021",https://fr.foursquare.com/moshes6675607,moshe s.
Victoria and Albert Museum (V&A),https://fr.foursquare.com/v/victoria-and-albert-museum-va/4ae2d9f8f964a5208d8f21e3,https://fastly.4sqi.net/img/general/300x300/727049_YvUjgI_rq0Uq2freWqRE4XM-ZgbLNI89KzuQRy5pRpk.jpg,9.4,34,Musée d'art,"Cromwell Rd, Londres",Enregistrer ,,,,,
Somerset House,https://fr.foursquare.com/v/somerset-house/4ac518cff964a52063a620e3,https://fastly.4sqi.net/img/general/300x300/82667796_6A14pxBsMjM7nw34Bp86FWtTLGugJFnPIEH56QmukTI.jpg,9.4,35,Salle polyvalente,"Strand, Londres",Enregistrer ,,,,,
Union Chapel,https://fr.foursquare.com/v/union-chapel/4ae9e8c4f964a52088b721e3,https://fastly.4sqi.net/img/general/300x300/351112_60lFXcvCZ3TfVxUCyKgyvfZSwbo1MZdFvZrHKxvVlfo.jpg,9.4,36,Salle de concert,"Compton Terrace, Londres",Enregistrer ,,,,,
Buns From Home,https://fr.foursquare.com/v/buns-from-home/5fa7c4dad56e0d251af47674,https://fastly.4sqi.net/img/general/300x300/469623792_LJg00JXDgmd2sFwqV23h10XICDMuO1XRhhZzoXu5VnE.jpg,9.4,37,Boulangerie,"Talbot Rd, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/1403654744_FU1uhcGe_-oI3ZXiViy4uaqh79kv6Jz1Cy-VBZSM_X7MkvsX5aIT6eX1w2AQZdgkwlextKh-V,"Roger D. • Août 30
PUISSANT MARABOUT COMPETENT Le rituel retour affectif est de magie blanche ou de magie rouge qui consiste à effectuer un rituel d’envoûtement sur la personne que vous voulez attirer.Tél :+22960672201",Roger D. • Août 30,https://fr.foursquare.com/rogerd3389731,Roger D.
National Gallery,https://fr.foursquare.com/v/national-gallery/4ac518cdf964a520e6a520e3,https://fastly.4sqi.net/img/general/300x300/17876448_uMTE-TZVgTi_2kZIYn-554oyXw8lioA04fthtb77PYc.jpg,9.4,38,Musée d'art,"Trafalgar Sq, Londres",Enregistrer ,,,,,
Marble Hill Park,https://fr.foursquare.com/v/marble-hill-park/4bdad8e23904a593168f479e,https://fastly.4sqi.net/img/general/300x300/5175526_VpuOASbPoObJzMWtP1dTlxewW3uy46KxibAFWK3sNNc.jpg,9.4,39,Parc,"Richmond Rd, Twickenham",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/V0NXHFYAYIAEGUTR.jpg,"Mark W. • Février 6, 2012
In the summer enjoy watching a game of cricket. In the winter, explore all four corners in an afternoon. And when ready,... stretch out along the river. Richmond is left and Twickenham is right !!","Mark W. • Février 6, 2012",https://fr.foursquare.com/markwing,Mark W.
Palace of Westminster,https://fr.foursquare.com/v/palace-of-westminster/4eb1587693adccbac49e282f,https://fastly.4sqi.net/img/general/300x300/209604793_nefZHEzWr0o1cQ99gkOM-aPncxpxY8mINNVx_wntEXU.jpg,9.4,40,Palais,"St. Margaret St, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/91799402-UONIQ3Z12KQKQGJ2.jpg,"Pratiti M. • Octobre 5, 2015
A very beautiful, huge palace. Well maintained, closed on Sundays.","Pratiti M. • Octobre 5, 2015",https://fr.foursquare.com/pratitimajumdar,Pratiti M.
Woodberry Wetlands,https://fr.foursquare.com/v/woodberry-wetlands/5725d096498e8780a70e7d26,https://fastly.4sqi.net/img/general/300x300/8980659_ZdGM_-ablbquTo9H2ObGS4lgGmkQKQ3OARoK5sQF6z0.jpg,9.4,41,Réserve,"New River Path (Lordship Road), Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/30VABE5OKHFRAILP.jpg,"András N. • Juin 6, 2016
path around east reservoir opened recently, a definite must even if it gets quite busy at times.","András N. • Juin 6, 2016",https://fr.foursquare.com/andrasn1777845,András N.
Selfridges & Co,https://fr.foursquare.com/v/selfridges--co/4ae5b238f964a52087a121e3,https://fastly.4sqi.net/img/general/300x300/30820767_ukDrYK0Cay5baByW4HXdtp3pDlYULmriKlabSge8-TM.jpg,9.4,42,Grand magasin,"400 Oxford St, Londres",Enregistrer ,,,,,
The Ned Hotel,https://fr.foursquare.com/v/the-ned-hotel/58933377469aef72f3707afe,https://fastly.4sqi.net/img/general/300x300/575970016_nH-Hixa5SiaqGWG-ODf_idgDfM3UN0MWIMznEejj-7U.jpg,9.4,43,Hôtel,"27 Poultry, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/217265246_T4vho6sO_fSM91Zk69p6qaTxeRHHU_Mv_9B7urOEMrAuhnZmxZlO3IoqT7v8nsYbSk1ch4SPj.jpg,"Ish R. • Janvier 28, 2018
Gorgeous Art Deco style hotel. Great for drinks and food. It’s a must whilst in London. Eat at Millie’s and get the sausage roll, potato gnocchi and the Hake. Live music on Fridays and Saturdays!","Ish R. • Janvier 28, 2018",https://fr.foursquare.com/ishr7478981,Ish R.
Dishoom,https://fr.foursquare.com/v/dishoom/53cd09ab498e5a7d7b19b4c1,https://fastly.4sqi.net/img/general/300x300/635770_6Gcs8kJA7d09a61vh_p2q4Iv_P2xCXSICorkumREi4Y.jpg,9.4,44,Indienne,"5 Stable St, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/0WU30GZ3BCF11RZ3.jpg,"Claire A. • Juillet 20, 2017
... (3 niveaux de tables + bar au sous-sol)L'attente est très longue,...","Claire A. • Juillet 20, 2017",https://fr.foursquare.com/clairea6857712,Claire A.
Mount Street Gardens,https://fr.foursquare.com/v/mount-street-gardens/4affed13f964a5204b3a22e3,https://fastly.4sqi.net/img/general/300x300/4543345_fOfsvmyugzR_vjpC5NNMXFC86EEDb4V17c02L3OlTrg.jpg,9.4,45,Parc,"Mount St, Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_boy.png,"Bijan Y. • Juillet 12, 2015
Very special find. Calm. Unique. Heavenly.","Bijan Y. • Juillet 12, 2015",https://fr.foursquare.com/bijany3454613,Bijan Y.
Spa at Four Seasons Hotel,https://fr.foursquare.com/v/spa-at-four-seasons-hotel/4db751e7107fd7ce3c11917d,https://fastly.4sqi.net/img/general/300x300/498727257_kHpfSbxBnAc2DIv6ANpY3F0FZzV2fQN38moP3YIymCw.jpg,9.4,46,Spa,"Hamilton Pl (Park Ln), Londres",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/5IY3X1IGO2VCKR3Y.jpg,"Four Seasons Spas • Novembre 4, 2011
With stunning views over Hyde Park and Park Lane, let your worries get lost in the clouds. Reserve our exclusive Sky Suite to enjoy the ultimate spa experience.","Four Seasons Spas • Novembre 4, 2011",https://fr.foursquare.com/fourseasonsspas,Four Seasons Spas
