Titre,Lien_du_titre,eventresultdate,eventresultdate1,eventresultdate2,location_lien,location,location3,eventresultgenreitem,eventresultartistlink,prix
"
      ENTREE WELLNESS ET FITNESS
    ",https://www.ticketmaster.fr/fr/manifestation/entree-wellness-et-fitness-billet/idmanif/517024,"
    Du
    
      1 janvier 2022
    
    au
    
      31 décembre 2024
    ","
      1 janvier 2022
    ","
      31 décembre 2024
    ",https://www.ticketmaster.fr/fr/salle/mondorf-domaine-thermal/idsite/13281,MONDORF DOMAINE THERMAL,MONDORF LES BAINS,LOISIRS ET TOURISME - BIEN-ETRE ET SPORT,"
          MONDORF DOMAINE THERMAL
        ","
      à partir de
      27.00 €"
"
      WALIBI BELGIUM - JOURNEES TERRIFIANTES
    ",https://www.ticketmaster.fr/fr/manifestation/walibi-belgium-journees-terrifiantes-billet/idmanif/563484,"
    Du
    
      21 octobre 2023
    
    au
    
      4 novembre 2023
    ","
      21 octobre 2023
    ","
      4 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/walibi-belgium/idsite/5307,WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"
          WALIBI BELGIUM
        ","
      à partir de
      46.00 €"
"
      PLOPSALAND - PASS SAISON
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaland-pass-saison-billet/idmanif/546911,"
    Du
    
      9 février 2023
    
    au
    
      27 mars 2024
    ","
      9 février 2023
    ","
      27 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaland/idsite/3471,PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"
          PLOPSALAND
        ","
      à partir de
      55.00 €"
"
      BELLEWAERDE - HALLOWEEN 21/10 & 04/11/23
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-halloween-21-10-04-11-23-billet/idmanif/564117,"
    Du
    
      21 octobre 2023
    
    au
    
      4 novembre 2023
    ","
      21 octobre 2023
    ","
      4 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-park/idsite/5306,BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"
          BELLEWAERDE
        ","
      à partir de
      41.00 €"
"
      PLOPSALAND - PASS GOLD
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaland-pass-gold-billet/idmanif/547195,"
    Du
    
      14 février 2023
    
    au
    
      27 mars 2024
    ","
      14 février 2023
    ","
      27 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaland/idsite/3471,PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"
          PLOPSALAND
        ","
      à partir de
      99.00 €"
"
      QUEENS OF THE STONE AGE
    ",https://www.ticketmaster.fr/fr/manifestation/queens-of-the-stone-age-billet/idmanif/557136,"
      5 novembre 2023
    ","
      5 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          QUEENS OF THE STONE AGE
        ",
"
      REAL MADRID / RAYO VALLECANO
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-rayo-vallecano-billet/idmanif/560126,"
      5 novembre 2023
    ","
      5 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ",
"
      WALIBI BELGIUM - HALLOWEEN EN FAMILLE
    ",https://www.ticketmaster.fr/fr/manifestation/walibi-belgium-halloween-en-famille-billet/idmanif/563470,"
    Du
    
      22 octobre 2023
    
    au
    
      5 novembre 2023
    ","
      22 octobre 2023
    ","
      5 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/walibi-belgium/idsite/5307,WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"
          WALIBI BELGIUM
        ","
      à partir de
      43.00 €"
"
      BELLEWAERDE - JOURNEES HALLOWEEN
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-journees-halloween-billet/idmanif/564102,"
    Du
    
      22 octobre 2023
    
    au
    
      5 novembre 2023
    ","
      22 octobre 2023
    ","
      5 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-park/idsite/5306,BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"
          BELLEWAERDE
        ","
      à partir de
      40.00 €"
"
      DEATHSTARS
    ",https://www.ticketmaster.fr/fr/manifestation/deathstars-billet/idmanif/552781,"
      6 novembre 2023
    ","
      6 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"
          DEATHSTARS
        ","
      à partir de
      29.20 €"
"
      LAIBACH
    ",https://www.ticketmaster.fr/fr/manifestation/laibach-billet/idmanif/560911,"
    Du
    
      22 octobre 2023
    
    au
    
      7 novembre 2023
    ","
      22 octobre 2023
    ","
      7 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          LAIBACH
        ","
      à partir de
      38.50 €"
"
      ATLETICO MADRID / CELTIC FC
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-celtic-fc-billet/idmanif/563832,"
      7 novembre 2023
    ","
      7 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ",
"
      REAL MADRID / SC BRAGA
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-sc-braga-billet/idmanif/563830,"
      8 novembre 2023
    ","
      8 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      137.50 €"
"
      ROMAN FRAYSSINET
    ",https://www.ticketmaster.fr/fr/manifestation/roman-frayssinet-billet/idmanif/541294,"
      10 novembre 2023
    ","
      10 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/chapito-casino-2000/idsite/5498,CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,"
          ROMAN FRAYSSINET
        ",
"
      MARTIN SOLVEIG
    ",https://www.ticketmaster.fr/fr/manifestation/martin-solveig-billet/idmanif/565721,"
      10 novembre 2023
    ","
      10 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - MUSIQUE ELECTRONIQUE,"
          MARTIN SOLVEIG
        ","
      à partir de
      50.00 €"
"
      FC BARCELONE / D.ALAVES
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-dalaves-billet/idmanif/560677,"
      11 novembre 2023
    ","
      11 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      66.00 €"
"
      OBISPO
    ",https://www.ticketmaster.fr/fr/manifestation/obispo-billet/idmanif/541755,"
      11 novembre 2023
    ","
      11 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/forest-national/idsite/3318,FOREST NATIONAL,BRUXELLES,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          PASCAL OBISPO
        ","
      à partir de
      49.00 €"
"
      REAL MADRID / VALENCIA
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-valencia-billet/idmanif/560212,"
      11 novembre 2023
    ","
      11 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ",
"
      DEATH ANGEL & SACRED REICH
    ",https://www.ticketmaster.fr/fr/manifestation/death-angel-sacred-reich-billet/idmanif/557734,"
      12 novembre 2023
    ","
      12 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          DEATH ANGEL
        ","
      à partir de
      35.20 €"
"
      LIL TJAY
    ",https://www.ticketmaster.fr/fr/manifestation/lil-tjay-billet/idmanif/563506,"
      12 novembre 2023
    ","
      12 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"
          LIL TJAY
        ","
      à partir de
      46.50 €"
"
      ATLETICO MADRID / VILLARREAL
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-villarreal-billet/idmanif/560773,"
      12 novembre 2023
    ","
      12 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      93.50 €"
"
      BOBBEJAANLAND
    ",https://www.ticketmaster.fr/fr/manifestation/bobbejaanland-billet/idmanif/550181,"
    Du
    
      1 avril 2023
    
    au
    
      12 novembre 2023
    ","
      1 avril 2023
    ","
      12 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/bobbejaanland-parc/idsite/1614,BOBBEJAANLAND PARC,LICHTAART,PARC - PARC DE LOISIRS,"
          BOBBEJAANLAND
        ","
      à partir de
      24.90 €"
"
      DOMAINE DES GROTTES DE HAN
    ",https://www.ticketmaster.fr/fr/manifestation/domaine-des-grottes-de-han-billet/idmanif/545954,"
    Du
    
      18 février 2023
    
    au
    
      12 novembre 2023
    ","
      18 février 2023
    ","
      12 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/domaine-des-grottes-de-han/idsite/3535,DOMAINE DES GROTTES DE HAN,HAN SUR LESSE/BELGIQUE,PARC - PARC ANIMALIER,"
          DOMAINE DES GROTTES DE HAN
        ","
      à partir de
      27.50 €"
"
      TOMMY CASTRO & THE PAINKILLERS
    ",https://www.ticketmaster.fr/fr/manifestation/tommy-castro-the-painkillers-billet/idmanif/562278,"
      14 novembre 2023
    ","
      14 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-the-floor/idsite/6566,ROCKHAL - THE FLOOR,ESCH S/ALZETTE,CONCERT - BLUES COUNTRY,"
          TOMMY CASTRO & THE PAINKILLERS
        ","
      à partir de
      26.00 €"
"
      FARY
    ",https://www.ticketmaster.fr/fr/manifestation/fary-billet/idmanif/558090,"
      10 décembre 2023
    ","
      10 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/chapito-casino-2000/idsite/5498,CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"
          FARY
        ","
      à partir de
      49.00 €"
"
      LOUIS BERTIGNAC
    ",https://www.ticketmaster.fr/fr/manifestation/louis-bertignac-billet/idmanif/550531,"
      15 novembre 2023
    ","
      15 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          LOUIS BERTIGNAC
        ","
      à partir de
      50.00 €"
"
      DANKO JONES
    ",https://www.ticketmaster.fr/fr/manifestation/danko-jones-billet/idmanif/561045,"
      17 novembre 2023
    ","
      17 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          DANKO JONES
        ","
      à partir de
      30.20 €"
"
      CHRISTOPHE MAE
    ",https://www.ticketmaster.fr/fr/manifestation/christophe-mae-billet/idmanif/541436,"
      17 novembre 2023
    ","
      17 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/forest-national/idsite/3318,FOREST NATIONAL,BRUXELLES,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          CHRISTOPHE MAE
        ","
      à partir de
      35.00 €"
"
      JAZZ & CINEMA
    ",https://www.ticketmaster.fr/fr/manifestation/jazz-cinema-billet/idmanif/566242,"
      17 novembre 2023
    ","
      17 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          JAZZ & CINEMA
        ","
      à partir de
      13.50 €"
"
      ARCHIVE
    ",https://www.ticketmaster.fr/fr/manifestation/archive-billet/idmanif/536253,"
      17 novembre 2023
    ","
      17 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          ARCHIVE
        ",
"
      THE DARKNESS
    ",https://www.ticketmaster.fr/fr/manifestation/the-darkness-billet/idmanif/550013,"
    Du
    
      18 novembre 2023
    
    au
    
      30 novembre 2023
    ","
      18 novembre 2023
    ","
      30 novembre 2023
    ",https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          THE DARKNESS
        ",
"
      RON CARTER FOURSIGHT QUARTET
    ",https://www.ticketmaster.fr/fr/manifestation/ron-carter-foursight-quartet-billet/idmanif/566249,"
      18 novembre 2023
    ","
      18 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          MARCUS MILLER
        ","
      à partir de
      73.50 €"
"
      RAYE
    ",https://www.ticketmaster.fr/fr/manifestation/raye-billet/idmanif/547258,"
      20 novembre 2023
    ","
      20 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          RAYE
        ","
      à partir de
      33.20 €"
"
      ZAHO DE SAGAZAN
    ",https://www.ticketmaster.fr/fr/manifestation/zaho-de-sagazan-billet/idmanif/551547,"
      21 novembre 2023
    ","
      21 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          ZAHO DE SAGAZAN
        ","
      à partir de
      27.00 €"
"
      DAVE STEWART
    ",https://www.ticketmaster.fr/fr/manifestation/dave-stewart-billet/idmanif/566321,"
      21 novembre 2023
    ","
      21 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          DAVE STEWART
        ","
      à partir de
      57.00 €"
"
      BILLY COBHAM SPECTRUM 50 PROJECT
    ",https://www.ticketmaster.fr/fr/manifestation/billy-cobham-spectrum-50-project-billet/idmanif/566239,"
      22 novembre 2023
    ","
      22 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          BILLY COBHAM
        ","
      à partir de
      63.50 €"
"
      JAN GARBAREK GROUP
    ",https://www.ticketmaster.fr/fr/manifestation/jan-garbarek-group-billet/idmanif/566241,"
      23 novembre 2023
    ","
      23 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          JAN GARBAREK
        ","
      à partir de
      63.50 €"
"
      KAREEN GUIOCK-THURAM
    ",https://www.ticketmaster.fr/fr/manifestation/kareen-guiock-thuram-billet/idmanif/566245,"
      24 novembre 2023
    ","
      24 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          PIANOFORTE
        ","
      à partir de
      63.50 €"
"
      CHASE & STATUS (DJ SET)
    ",https://www.ticketmaster.fr/fr/manifestation/chase-status-dj-set-billet/idmanif/561037,"
      24 novembre 2023
    ","
      24 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - MUSIQUE ELECTRONIQUE,"
          CHASE & STATUS
        ","
      à partir de
      32.20 €"
"
      ATLETICO MADRID / MALLORCA
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-mallorca-billet/idmanif/560775,"
      25 novembre 2023
    ","
      25 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      71.50 €"
"
      MACY GRAY
    ",https://www.ticketmaster.fr/fr/manifestation/macy-gray-billet/idmanif/566248,"
      25 novembre 2023
    ","
      25 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          MACY GRAY
        ","
      à partir de
      93.50 €"
"
      SDM
    ",https://www.ticketmaster.fr/fr/manifestation/sdm-billet/idmanif/553177,"
      25 novembre 2023
    ","
      25 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"
          SDM
        ",
"
      AHMED SYLLA
    ",https://www.ticketmaster.fr/fr/manifestation/ahmed-sylla-billet/idmanif/551270,"
      1 février 2024
    ","
      1 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/chapito-casino-2000/idsite/5498,CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"
          AHMED SYLLA
        ","
      à partir de
      50.00 €"
"
      LE SON D'ALEX, ALEX JAFFRAY
    ",https://www.ticketmaster.fr/fr/manifestation/le-son-d-alex-alex-jaffray-billet/idmanif/566247,"
      26 novembre 2023
    ","
      26 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          ALEX JAFFRAY
        ","
      à partir de
      43.50 €"
"
      ALAIN CHAMFORT
    ",https://www.ticketmaster.fr/fr/manifestation/alain-chamfort-billet/idmanif/566487,"
      30 novembre 2023
    ","
      30 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/eglise-saint-jacques-de-tournai/idsite/20532,EGLISE SAINT-JACQUES DE TOURNAI,TOURNAI,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          ALAIN CHAMFORT
        ","
      à partir de
      20.00 €"
"
      THE PRODIGY
    ",https://www.ticketmaster.fr/fr/manifestation/the-prodigy-billet/idmanif/561148,"
      28 novembre 2023
    ","
      28 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - MUSIQUE ELECTRONIQUE,"
          THE PRODIGY
        ","
      à partir de
      57.00 €"
"
      FC BARCELONE / FC PORTO
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-fc-porto-billet/idmanif/563801,"
      28 novembre 2023
    ","
      28 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      71.50 €"
"
      MADAGASCAR
    ",https://www.ticketmaster.fr/fr/manifestation/madagascar-billet/idmanif/547536,"
    Du
    
      1 décembre 2023
    
    au
    
      3 décembre 2023
    ","
      1 décembre 2023
    ","
      3 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/salle-des-princes-grimaldi-forum/idsite/2956,SALLE DES PRINCES - GRIMALDI FORUM,MONACO,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,"
          MADAGASCAR
        ","
      à partir de
      33.20 €"
"
      FEAR FACTORY
    ",https://www.ticketmaster.fr/fr/manifestation/fear-factory-billet/idmanif/554606,"
      29 novembre 2023
    ","
      29 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"
          FEAR FACTORY
        ","
      à partir de
      33.20 €"
"
      GAROU
    ",https://www.ticketmaster.fr/fr/manifestation/garou-billet/idmanif/536662,"
      29 novembre 2023
    ","
      29 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/chapito-casino-2000/idsite/5498,CHAPITO - CASINO 2000,MONDORF LES BAINS,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          GAROU
        ","
      à partir de
      59.00 €"
"
      JEANNE ADDED
    ",https://www.ticketmaster.fr/fr/manifestation/jeanne-added-billet/idmanif/566244,"
      29 novembre 2023
    ","
      29 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          JEANNE ADDED
        ","
      à partir de
      63.50 €"
"
      REAL MADRID / SSC NAPOLI
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-ssc-napoli-billet/idmanif/563831,"
      29 novembre 2023
    ","
      29 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ",
"
      KO KO MO
    ",https://www.ticketmaster.fr/fr/manifestation/ko-ko-mo-billet/idmanif/561596,"
      1 décembre 2023
    ","
      1 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/espace-leo-ferre/idsite/6096,ESPACE LEO FERRE,MONACO,CONCERT - POP ROCK FOLK,"
          KO KO MO
        ","
      à partir de
      22.00 €"
"
      IBRAHIM MAALOUF
    ",https://www.ticketmaster.fr/fr/manifestation/ibrahim-maalouf-billet/idmanif/566240,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          IBRAHIM MAALOUF
        ","
      à partir de
      93.50 €"
"
      FATOUMATA DIAWARA
    ",https://www.ticketmaster.fr/fr/manifestation/fatoumata-diawara-billet/idmanif/548877,"
      30 novembre 2023
    ","
      30 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          FATOUMATA DIAWARA
        ","
      à partir de
      43.00 €"
"
      KEZIAH JONES
    ",https://www.ticketmaster.fr/fr/manifestation/keziah-jones-billet/idmanif/566246,"
      30 novembre 2023
    ","
      30 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/opera-garnier-de-monte-carlo/idsite/8603,OPERA GARNIER DE MONTE CARLO,MONTE CARLO,CONCERT - JAZZ,"
          KEZIAH JONES
        ","
      à partir de
      63.50 €"
"
      SOFT MACHINE
    ",https://www.ticketmaster.fr/fr/manifestation/soft-machine-billet/idmanif/554664,"
      30 novembre 2023
    ","
      30 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-the-floor/idsite/6566,ROCKHAL - THE FLOOR,ESCH S/ALZETTE,CONCERT - POP ROCK FOLK,"
          SOFT MACHINE
        ","
      à partir de
      34.20 €"
"
      KYO
    ",https://www.ticketmaster.fr/fr/manifestation/kyo-billet/idmanif/541688,"
      1 décembre 2023
    ","
      1 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/forest-national/idsite/3318,FOREST NATIONAL,BRUXELLES,CONCERT - VARIETE INTERNATIONALE,"
          KYO
        ","
      à partir de
      44.00 €"
"
      FC BARCELONE / ATLETICO MADRID
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-atletico-madrid-billet/idmanif/560686,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ",
"
      REAL MADRID / GRANADA
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-granada-billet/idmanif/560215,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      115.50 €"
"
      THE AMITY AFFLICTION
    ",https://www.ticketmaster.fr/fr/manifestation/the-amity-affliction-billet/idmanif/562401,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          THE AMITY AFFLICTION
        ","
      à partir de
      38.70 €"
"
      FRENCH 79
    ",https://www.ticketmaster.fr/fr/manifestation/french-79-billet/idmanif/550162,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          FRENCH 79
        ","
      à partir de
      32.20 €"
"
      JAIN
    ",https://www.ticketmaster.fr/fr/manifestation/jain-billet/idmanif/562359,"
      12 décembre 2023
    ","
      12 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          JAIN
        ","
      à partir de
      44.50 €"
"
      LOIC NOTTET
    ",https://www.ticketmaster.fr/fr/manifestation/loic-nottet-billet/idmanif/553770,"
      3 décembre 2023
    ","
      3 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          LOIC NOTTET
        ","
      à partir de
      43.50 €"
"
      GIRLS IN HAWAII
    ",https://www.ticketmaster.fr/fr/manifestation/girls-in-hawaii-billet/idmanif/553179,"
      5 décembre 2023
    ","
      5 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          GIRLS IN HAWAII
        ","
      à partir de
      33.20 €"
"
      HALESTORM
    ",https://www.ticketmaster.fr/fr/manifestation/halestorm-billet/idmanif/561163,"
      6 décembre 2023
    ","
      6 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          HALESTORM
        ",
