Titre,Avis,Type,Price
73. Bono Lisboa,134 avis,"Méditerranéenne, Moderne",Menu
74. Dom Queijo Cheese House,344 avis,"Européenne, Moderne",€€-€€€
75. daPrata52,2 817 avis,"Méditerranéenne, Européenne",€€-€€€
76. O Tasco Do Vigário,525 avis,"Fruits de mer et poisson, Méditerranéenne",€
77. Peixola,507 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
78. The Little Wine Bar,565 avis,"Méditerranéenne, Européenne",€€-€€€
79. Tasca Mastai,388 avis,"Bar, Méditerranéenne",€
80. Federico Restaurante & Bar,160 avis,"Méditerranéenne, Européenne",€€€€
81. Bairrices,653 avis,"Méditerranéenne, Portugaise",€€-€€€
82. Ganesha Palace,243 avis,"Italienne, Indienne",€€-€€€
83. LI28OA - Wine and Tapas,287 avis,"Saine, Portugaise",€€-€€€
84. Sacco Restaurante,331 avis,Portugaise,€€-€€€
85. Restaurante Elevador,538 avis,"Internationale, Méditerranéenne",€€-€€€
86. Santelmo Restaurante Cafe,644 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
87. Maruto,988 avis,"Bar, Méditerranéenne",€€-€€€
88. Valdo Gatti Pizza Bio,639 avis,Pizza,€€-€€€
89. Versículo do Faia,727 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
90. Bao House,67 avis,"Asiatique, Saine",€€-€€€
91. Rosa da Rua,1 314 avis,"Méditerranéenne, Européenne",€
92. Taco Locoo Restaurant and Cocktail Bar,368 avis,Mexicaine,€€-€€€
93. Quase Café,500 avis,"Café, Internationale",€
94. Florence Italiano,454 avis,"Italienne, Pizza",€€-€€€
95. Lumi Rooftop,885 avis,"Bar, Internationale",€€-€€€
96. Ghoroa Restaurante,356 avis,Indienne,€€-€€€
97. Il Covo,719 avis,"Italienne, Internationale",€€-€€€
98. Maria Peixeira,460 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
99. Focaccia in Giro,277 avis,"Italienne, Bar à bières",€
"100. O Portugues, Chiado",194 avis,"Méditerranéenne, Fusion",€€-€€€
101. Velha Gaiteira,578 avis,"Méditerranéenne, Européenne",€
102. Sala de João Sá,228 avis,"Méditerranéenne, Européenne",€€€€
103. Limoncello,1 129 avis,"Italienne, Méditerranéenne",€€-€€€
"104. Mestrias, Nova Tasca",336 avis,"Méditerranéenne, Européenne",€€-€€€
105. As Velhas,1 230 avis,"Fruits de mer et poisson, Portugaise",€€-€€€
106. Gurkha Restaurant & Bar,242 avis,"Indienne, Asiatique",€€-€€€
107. Restaurante Sucolento,855 avis,"Méditerranéenne, Européenne",€
108. Santa Clara dos Cogumelos,655 avis,"Italienne, Internationale",€€-€€€
109. O Corvo,627 avis,"Méditerranéenne, Européenne",€€-€€€
110. Maria Catita,3 305 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
111. Solar 31 da Calçada,3 062 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
112. Lugar Marcado,407 avis,"Méditerranéenne, Européenne",€€-€€€
113. Bellalisa Valmor,1 380 avis,"Italienne, Internationale",€€-€€€
114. Darshan Nepal,195 avis,"Indienne, Asiatique",€
115. Roda Viva,202 avis,Africaine,€
116. Restaurante India Gate,947 avis,Indienne,€€-€€€
117. Lisboa e linda,1 005 avis,"Méditerranéenne, Européenne",€€-€€€
118. Meson Andaluz,2 024 avis,"Méditerranéenne, Européenne",€€-€€€
119. A Transmontana,396 avis,"Méditerranéenne, Barbecue/Grillades",€
120. A Minhota da Prata,640 avis,"Méditerranéenne, Européenne",€
121. Clube de Jornalistas,2 670 avis,"Internationale, Européenne",€€-€€€
122. Taberna Sal Grosso,1 787 avis,"Méditerranéenne, Européenne",€€-€€€
123. Alto do Bairro,683 avis,Fusion,€
124. Everest Montanha,221 avis,"Indienne, Asiatique",€
125. A Obra,248 avis,"Méditerranéenne, Européenne",€€-€€€
126. Casa do Pescador,331 avis,"Méditerranéenne, Européenne",€€-€€€
127. The CorkScrew,849 avis,"Méditerranéenne, Portugaise",€€-€€€
128. Churrasqueira do Marques,337 avis,"Méditerranéenne, Barbecue/Grillades",€
129. Feitoria Restaurant & Wine Bar,774 avis,"Internationale, Méditerranéenne",€€€€
130. O Chiado,1 522 avis,Portugaise,€€-€€€
131. El Rei D. Frango,1 223 avis,"Méditerranéenne, Européenne",€
132. Grenache,228 avis,"Française, Internationale",€€€€
133. O Recanto,590 avis,"Méditerranéenne, Européenne",€
134. ALMA Henrique Sá Pessoa,1 096 avis,"Méditerranéenne, Européenne",€€€€
135. Leo,451 avis,"Indienne, Asiatique",€€-€€€
136. As Salgadeiras Restaurante,1 532 avis,"Fruits de mer et poisson, Méditerranéenne",€€€€
137. LOCO Restaurante,344 avis,"Méditerranéenne, Européenne",€€€€
138. Hamburgueria Gourmet - Cafe do Rio,1 987 avis,"Internationale, Européenne",€€-€€€
139. Restaurante Forninho Saloio,980 avis,"Méditerranéenne, Barbecue/Grillades",€€-€€€
140. Tempero Gaucho,302 avis,"Méditerranéenne, Européenne",€€-€€€
141. Villa's Gourmet ,56 avis,"Européenne, Traiteur",€€-€€€
142. Flor da Laranja,497 avis,"Africaine, Marocaine",€€-€€€
143. Madame Bacchus,135 avis,"Portugaise, Bar à vins",€€-€€€
144. Lisboa Tu & Eu 1,1 955 avis,Portugaise,€€-€€€
145. 3 Amigos,190 avis,"Mexicaine, Latino",€€-€€€
146. A Venda Lusitana,1 060 avis,"Méditerranéenne, Saine",€€-€€€
147. Lugar ao Sul,173 avis,Portugaise,€€-€€€
148. Mesa Kreol,299 avis,"Africaine, Fruits de mer et poisson",€€-€€€
149. Emblemático,79 avis,"Steakhouse, Barbecue/Grillades",Menu
150. Restaurante Raízes,196 avis,"Méditerranéenne, Européenne",€€-€€€
151. Petisco Saloio,187 avis,"Méditerranéenne, Européenne",€€-€€€
152. BaixaMar Lisboa - Mariscos e Petiscos,934 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
153. Beco a Serio,400 avis,"Méditerranéenne, Européenne",€€-€€€
154. Mex Factory,586 avis,"Mexicaine, Latino",€€-€€€
155. Rendezvous,200 avis,"Méditerranéenne, Européenne",€€-€€€
156. Ninja Buns - Lisboa,58 avis,"Asiatique, Coréenne",€€-€€€
157. A Avó Tinha,786 avis,"Méditerranéenne, Européenne",€€-€€€
158. Cafe Janis,371 avis,"Café, Européenne",€€-€€€
159. Oficina do Duque,1 775 avis,"Méditerranéenne, Européenne",€€-€€€
160. Restaurante Comptoir Parisien,1 287 avis,"Française, Méditerranéenne",€€-€€€
161. Taberna dos Ferreiros,574 avis,"Méditerranéenne, Européenne",€€-€€€
162. Porto Alfama,271 avis,"Méditerranéenne, Européenne",€€-€€€
163. As bifanas do Afonso,242 avis,"Restauration rapide, Européenne",€
164. IIIMPAR,1 023 avis,"Steakhouse, Méditerranéenne",€€-€€€
165. Os Bons Malandros,605 avis,"Méditerranéenne, Européenne",€€-€€€
166. O Trigueirinho,891 avis,"Méditerranéenne, Européenne",€
167. Churrasqueira da Paz,964 avis,"Méditerranéenne, Barbecue/Grillades",€
168. Fado ao Carmo,432 avis,"Saine, Portugaise",€€-€€€
169. 26 Vegan Food Project,640 avis,"Européenne, Saine",€€-€€€
170. Bengal Tandoori Lisboa,357 avis,"Indienne, Internationale",€€-€€€
171. Restaurante EPUR,147 avis,"Européenne, Portugaise",€€€€
172. Borges,453 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
173. Manjerico Alegre Restaurante & Wine Shop,257 avis,"Méditerranéenne, Européenne",€€-€€€
174. A Cisterna,439 avis,"Méditerranéenne, Européenne",€€-€€€
175. Fifty Seconds,115 avis,"Méditerranéenne, Européenne",€€€€
176. Tantura,526 avis,"Méditerranéenne, Saine",€€-€€€
177. Madragoa Cafe,1 235 avis,"Méditerranéenne, Saine",€€-€€€
178. Fumeiro de Santa Catarina,446 avis,"Méditerranéenne, Européenne",€€-€€€
179. The Mill,523 avis,"Café, Moderne",€€-€€€
180. Rodas Restaurant,645 avis,"Méditerranéenne, Européenne",€
181. Chafariz do Vinho - Enoteca,1 775 avis,"Européenne, Portugaise",€€-€€€
182. The Wine Cellar,591 avis,"Méditerranéenne, Européenne",€€-€€€
183. Restaurante D' Bacalhau,3 687 avis,"Saine, Portugaise",€€-€€€
184. Mister Tapas,297 avis,"Bar, Européenne",€€-€€€
185. Unique Sushi Lab,552 avis,"Japonaise, Internationale",€€-€€€
186. Varanda do Hotel Ritz Four Seasons - Lisboa,358 avis,"Méditerranéenne, Européenne",€€€€
187. Natraj,359 avis,"Indienne, Asiatique",€€-€€€
188. Nepal Curry House,181 avis,"Indienne, Asiatique",€€-€€€
189. Grapes & Bites,1 960 avis,"Méditerranéenne, Portugaise",€€-€€€
190. Tartar-ia,238 avis,Internationale,€€-€€€
191. Brunch Café,842 avis,"Café, Internationale",€€-€€€
192. Restaurante Tradicional Aroeira,186 avis,Portugaise,€
193. Maritima Do Restelo,345 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
194. Ofício Lisboa,451 avis,"Méditerranéenne, Européenne",€€-€€€
195. Claras Em Castelo,1 558 avis,"Méditerranéenne, Européenne",€€-€€€
196. Stanislav Cafe,618 avis,Café,€€-€€€
197. Leitaria Camponeza,1 614 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
198. DesNorte,318 avis,"Méditerranéenne, Européenne",€€-€€€
199. Eating Bear,497 avis,"Méditerranéenne, Européenne",€€-€€€
200. Suba,153 avis,"Internationale, Méditerranéenne",€€€€
201. O Arco,1 381 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
202. Floresta do Salitre,824 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
203. Zé dos Cornos,753 avis,"Barbecue/Grillades, Européenne",€
204. Cerveja Canil,155 avis,"Bar à bières, Bar",€€-€€€
205. Chão de Pedra,778 avis,"Internationale, Méditerranéenne",€€-€€€
206. O Faia,1 546 avis,Portugaise,€€€€
207. Cafe Pit,838 avis,Portugaise,€€-€€€
208. A Tigelinha,240 avis,"Méditerranéenne, Européenne",€
209. Alfama Cellar,1 012 avis,"Méditerranéenne, Saine",€€-€€€
210. Restaurante People,458 avis,"Internationale, Méditerranéenne",€€-€€€
211. Alpendre,1 423 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
212. Heim Cafe,394 avis,"Café, Européenne",€
213. H5 Texas Burger Hub,56 avis,"Mexicaine, Américaine",€
214. Audrey's,1 003 avis,"Méditerranéenne, Européenne",€€-€€€
215. Verde Minho,465 avis,"Méditerranéenne, Barbecue/Grillades",€
216. A Merendinha do Arco Bandeira,533 avis,"Méditerranéenne, Européenne",€
217. Estórias na Casa da Comida,753 avis,"Méditerranéenne, Européenne",€€€€
218. Maca Verde,321 avis,"Fruits de mer et poisson, Méditerranéenne",€
219. Mil Sabores Lisboa,76 avis,"Café, Européenne",€
220. Tapas 129,106 avis,"Méditerranéenne, Européenne",€€-€€€
221. Leve Leve Tapas Bar,475 avis,"Méditerranéenne, Européenne",€
222. Os Jeronimos,1 762 avis,"Méditerranéenne, Européenne",€€-€€€
223. The Old Pharmacy,914 avis,"Européenne, Portugaise",€€-€€€
224. Paladarium,609 avis,"Méditerranéenne, Européenne",€€-€€€
225. Yallah Lisboa,332 avis,"Saine, Moyen-Orient",€€-€€€
226. O Tainadas Restaurante & Bar,478 avis,"Méditerranéenne, Européenne",€€-€€€
227. 1001 Nights- Iranian Restaurant,341 avis,"Internationale, Perse",€€-€€€
228. Sacramento do Chiado,5 148 avis,"Fruits de mer et poisson, Internationale",€€-€€€
229. O Fernandinho,361 avis,"Fruits de mer et poisson, Méditerranéenne",€
230. Sr. Fado de Alfama,1 391 avis,"Fruits de mer et poisson, Portugaise",€€-€€€
231. Estrela da Bica,588 avis,"Méditerranéenne, Moderne",€€-€€€
232. Lisboa à Vista,418 avis,"Méditerranéenne, Européenne",€€-€€€
233. GIN LOVERS BAR & RESTAURANT,588 avis,"Méditerranéenne, Européenne",€€-€€€
234. Restaurante A Casa do Bacalhau,917 avis,"Méditerranéenne, Européenne",€€-€€€
235. Belcanto,2 156 avis,"Moderne, Portugaise",€€€€
236. Agua Pela Barba,319 avis,"Fruits de mer et poisson, Internationale",€€-€€€
237. Casa da Tia Helena,520 avis,"Méditerranéenne, Européenne",€
238. Pizzeria Romana al Taglio BIO,281 avis,"Italienne, Pizza",€
239. Byf Steakhouse,847 avis,"Steakhouse, Grillades",€€-€€€
240. Miss Can - Petiscaria,220 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
241. Simplesmente Pizza Bar,373 avis,"Italienne, Pizza",€€-€€€
242. L'os à Moelle - Lisboa,115 avis,"Française, Steakhouse",€€-€€€
243. Dallas Burger Joint - Pink Street,161 avis,Américaine,€€-€€€
244. Restaurante Figus,4 281 avis,"Internationale, Méditerranéenne",€€-€€€
245. La Piadina,225 avis,"Italienne, Méditerranéenne",€
246. O Prado,808 avis,"Méditerranéenne, Européenne",€
247. Quermesse,2 350 avis,"Méditerranéenne, Européenne",€€-€€€
248. Super Mario,475 avis,"Brésilienne, Méditerranéenne",€
249. O BECO - A Tradição do Bacalhau,715 avis,"Méditerranéenne, Européenne",€€-€€€
250. Fishtail Restaurante,336 avis,Népalaise,€€-€€€
251. Taberna do Lis,594 avis,"Méditerranéenne, Européenne",€€-€€€
252. The Fam Kitchen,77 avis,"Méditerranéenne, Européenne",€€-€€€
253. Restaurante o  Marques,313 avis,"Méditerranéenne, Portugaise",€
254. Cervejaria do Bairro,1 236 avis,"Bar à bières, Bar",€€-€€€
255. Duque Restaurante - Lisboa,1 105 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
256. Adega Dom Luis,235 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
257. Restaurante Marrakesh,463 avis,"Indienne, Marocaine",€€-€€€
258. Sentido do Mar,792 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
259. Brooklyn,269 avis,"Café, Européenne",€
260. BouBou's,290 avis,"Internationale, Méditerranéenne",€€-€€€
261. Restaurante Qosqo,340 avis,"Péruvienne, Saine",€€-€€€
262. Restaurante Cerqueira,874 avis,Portugaise,€
263. Coimbra Taberna,746 avis,"Méditerranéenne, Européenne",€€-€€€
264. Basilio Lisboa Cafe,307 avis,"Café, Européenne",€€-€€€
265. Bistrô4,517 avis,"Méditerranéenne, Européenne",€€-€€€
266. Ouvi Dizer,71 avis,"Méditerranéenne, Européenne",€€-€€€
267. By The Wine,1 307 avis,"Méditerranéenne, Européenne",€€-€€€
268. Petisqueira Conqvistador,575 avis,Portugaise,€
269. Gandhi Palace - Praça da Figueira,637 avis,"Italienne, Indienne",€€-€€€
270. Petiscaria Ideal,401 avis,"Méditerranéenne, Européenne",€€-€€€
271. Tapa Bucho,1 146 avis,"Méditerranéenne, Européenne",€€-€€€
272. Chickinho Lx Factory,195 avis,"Barbecue/Grillades, Européenne",€€-€€€
273. Restaurante Galeria,484 avis,"Méditerranéenne, Européenne",€€-€€€
274. A Taberna do Mar,212 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
275. O Magano,304 avis,"Méditerranéenne, Européenne",€€-€€€
276. Santa Bica,355 avis,"Méditerranéenne, Européenne",€€-€€€
277. Taverna Alfacinha,320 avis,"Fruits de mer et poisson, Méditerranéenne",€
278. Primo Basilico,423 avis,"Italienne, Pizza",€
279. 2Burger,162 avis,"Européenne, Portugaise",€€-€€€
280. Mercearia Castello Cafe,385 avis,"Café, Méditerranéenne",€
281. Farol de Santa Luzia,1 007 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
282. Taberna da Baixa,787 avis,"Méditerranéenne, Européenne",€€-€€€
283. The Food Temple,468 avis,"Internationale, Européenne",€€-€€€
284. Passage To India,683 avis,"Indienne, Asiatique",€€-€€€
285. O Mercado,436 avis,"Méditerranéenne, Européenne",€€-€€€
286. Cafe de Sao Bento,1 226 avis,"Steakhouse, Européenne",€€-€€€
287. Nomada,454 avis,"Japonaise, Sushi",€€-€€€
288. Ember Restaurante & Bar,58 avis,"Barbecue/Grillades, Européenne",€
289. Pizzeria Dama e Vagabundo,943 avis,"Italienne, Pizza",€€-€€€
290. Jardim dos Sentidos,698 avis,"Européenne, Saine",€€-€€€
291. Tabuaria do Paço,388 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
292. A Carvoaria,795 avis,Steakhouse,€€-€€€
293. Restaurante Vegetariano Psi,660 avis,"Indienne, Asiatique",€€-€€€
294. Frangasqueira Nacional,858 avis,"Restauration rapide, Barbecue/Grillades",€
295. A Tasquinha do Lagarto,573 avis,"Méditerranéenne, Européenne",€€-€€€
296. Boca D'Uva ,62 avis,"Européenne, Portugaise",€€-€€€
297. A Muralha Tasca Típica,471 avis,"Méditerranéenne, Européenne",€€-€€€
298. Volver de Carne Y Alma,619 avis,"Steakhouse, Fusion",€€€€
299. Sukhothai,614 avis,"Asiatique, Thaï",€€-€€€
300. Taberna Moderna,1 046 avis,"Méditerranéenne, Européenne",€€-€€€
301. Velho Macedo,620 avis,"Méditerranéenne, Européenne",€€-€€€
302. O Cantinho de Sao Jose,406 avis,"Méditerranéenne, Européenne",€
303. Tacho da Memoria - Odivelas,386 avis,"Méditerranéenne, Européenne",€€-€€€
304. Taberna Anti-Dantas,963 avis,"Méditerranéenne, Européenne",€€-€€€
305. To.B To Burger or not to Burger,722 avis,"Américaine, Bar",€€-€€€
306. Descobre,930 avis,"Méditerranéenne, Européenne",€€-€€€
307. Solido,670 avis,"Méditerranéenne, Européenne",€€-€€€
308. Cervejaria Liberdade,613 avis,"Fruits de mer et poisson, Portugaise",€€€€
309. Lisboa a Noite,1 514 avis,"Fruits de mer et poisson, Méditerranéenne",€€€€
310. Steak House Pateo Alcochetano,233 avis,"Steakhouse, Méditerranéenne",€€-€€€
311. Mini Bar,1 501 avis,Européenne,€€€€
312. Bistro Edelweiss,300 avis,"Suisse, Européenne",€€-€€€
313. Restaurante Faca & Garfo,1 924 avis,"Méditerranéenne, Européenne",€€-€€€
314. Fado & Wine,363 avis,"Européenne, Portugaise",€€-€€€
315. Grelha do Carmo,499 avis,"Fruits de mer et poisson, Méditerranéenne",€
316. Há Pitéu,953 avis,"Steakhouse, Bar",€€-€€€
317. Le Petit Cafe,1 225 avis,"Méditerranéenne, Européenne",€€-€€€
318. Restaurante Casa Ideal,459 avis,"Méditerranéenne, Européenne",€€-€€€
319. Le bar à crêpes,173 avis,"Française, Européenne",€
320. Salsa e Coentros,391 avis,"Européenne, Portugaise",€€-€€€
321. Restaurante Banho,285 avis,"Méditerranéenne, Européenne",€€-€€€
322. Tasca Kome,413 avis,"Japonaise, Sushi",€€-€€€
323. Frutaria Cafe,376 avis,"Café, Européenne",€
324. Sapore,605 avis,"Italienne, Pizza",€
325. Tamarind,679 avis,Indienne,€€-€€€
326. La Vita è Bella,1 383 avis,"Italienne, Pizza",€€-€€€
327. Restaurante Ze Varunca,349 avis,"Méditerranéenne, Européenne",€€-€€€
328. Tentações de Goa,259 avis,"Indienne, Asiatique",€€-€€€
329. Casa dos Pecados,364 avis,"Française, Méditerranéenne",€€-€€€
330. Restaurante Barrete Verde,361 avis,"Méditerranéenne, Européenne",€€-€€€
331. Casa da Dizima,655 avis,"Méditerranéenne, Européenne",€€€€
332. Restaurante Laurentina o Rei do Bacalhau,4 899 avis,"Méditerranéenne, Européenne",€€-€€€
333. O Funil,566 avis,"Méditerranéenne, Européenne",€€-€€€
334. IL Giardinetto Ristorante Pizzeria,497 avis,"Italienne, Pizza",€€-€€€
335. Companhia do Largo,605 avis,"Méditerranéenne, Européenne",€€-€€€
336. La Trattoria,619 avis,"Italienne, Pizza",€€-€€€
337. A Primavera do Jeronimo,491 avis,"Méditerranéenne, Européenne",€€-€€€
338. Maria Azeitona,854 avis,"Méditerranéenne, Européenne",€€-€€€
339. Caso SÉrio,582 avis,"Méditerranéenne, Européenne",€€-€€€
340. Restaurante Coradinho,533 avis,Portugaise,€
341. Allfama,458 avis,Portugaise,€
342. Koppu Ramen Izakaya - Principe Real,192 avis,"Japonaise, Asiatique",€€-€€€
343. Union Portugal,99 avis,Portugaise,€
344. Alto Minho,764 avis,"Méditerranéenne, Européenne",€€-€€€
345. Chu-Chu,826 avis,"Méditerranéenne, Barbecue/Grillades",€€-€€€
346. RIB Beef & Wine,764 avis,"Steakhouse, Internationale",€€€€
347. La Pasta Fresca,407 avis,"Italienne, Méditerranéenne",€€-€€€
348. Barracão de Alfama,686 avis,"Méditerranéenne, Européenne",€€-€€€
349. The Lounge - Sports Bar and Bistro,91 avis,"Mexicaine, Américaine",€€-€€€
350. Stasha Restaurante,956 avis,"Internationale, Méditerranéenne",€€-€€€
351. Terra Nova by Populi,2 002 avis,€€-€€€,Menu
352. Taberna Portuguesa,570 avis,"Méditerranéenne, Européenne",€€-€€€
353. Refugio,149 avis,"Méditerranéenne, Européenne",€€-€€€
354. Esquina da Fe,237 avis,"Européenne, Portugaise",€
355. Inhaca,449 avis,Méditerranéenne,€€-€€€
356. DesTapas,356 avis,"Méditerranéenne, Européenne",€€-€€€
357. Folha Bistrô & Micro Mercearia,44 avis,"Internationale, Moderne",€€-€€€
358. Break,86 avis,"Café, Européenne",€€-€€€
359. Affair Restaurante & Bar,56 avis,"Méditerranéenne, Moderne",€
360. Casa Nostra,348 avis,"Italienne, Méditerranéenne",€€-€€€
361. Italy Caffe Ristorante,1 301 avis,"Italienne, Pizza",€€-€€€
362. A Gália,225 avis,"Européenne, Grillades",€
363. Casa de Pasto Justiniano,435 avis,"Barbecue/Grillades, Européenne",€€-€€€
364. A Valenciana,658 avis,"Méditerranéenne, Barbecue/Grillades",€
365. Pizzaria Luzzo Santa Marta,755 avis,"Italienne, Pizza",€€-€€€
366. Pub Português,203 avis,"Bar à bières, Bar",€
367. A Gaúcha - Grelhados e Companhia,66 avis,"Méditerranéenne, Portugaise",€€-€€€
368. Taberna Tosca,756 avis,"Méditerranéenne, Européenne",€€-€€€
369. Butchers,773 avis,"Steakhouse, Européenne",€€-€€€
370. Suntory Exotic Japanese Fusion,497 avis,"Japonaise, Sushi",€€-€€€
371. Dom Feijao,557 avis,"Méditerranéenne, Européenne",€€-€€€
372. Tiles Restaurant & Tapas Bar,119 avis,"Bar, Européenne",€
373. Parreirinha de Alfama desde 1939,758 avis,"Européenne, Portugaise",€€-€€€
374. O Poleiro,365 avis,"Méditerranéenne, Européenne",€€-€€€
375. Fauna & Flora,367 avis,"Café, Européenne",€€-€€€
376. A Provinciana,659 avis,"Européenne, Portugaise",€
377. Restaurante Zuari,205 avis,Indienne,€€-€€€
378. JNcQUOI Avenida,1 146 avis,"Internationale, Méditerranéenne",€€€€
379. Santa Rita,961 avis,"Fruits de mer et poisson, Méditerranéenne",€
380. Grelhador Mor,262 avis,"Méditerranéenne, Européenne",€€-€€€
381. Taberna dos Cabroes,254 avis,"Méditerranéenne, Européenne",€€-€€€
382. Restaurant Ze da Mouraria,605 avis,"Méditerranéenne, Européenne",€€-€€€
383. Restaurante Vale do Rio,233 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
384. Restaurante O Pitéu,652 avis,"Méditerranéenne, Européenne",€€-€€€
385. O Trevo,316 avis,"Restauration rapide, Européenne",€
386. Tábuas Porto Wine Tavern,471 avis,"Européenne, Portugaise",€€-€€€
387. Ground Burger,1 159 avis,"Américaine, Bar",€€-€€€
388. Navegadoors,615 avis,"Bar, Pizza",€€-€€€
389. Restaurante Carmo,2 378 avis,"Méditerranéenne, Européenne",€€-€€€
390. 1300 Taberna,645 avis,"Méditerranéenne, Européenne",€€-€€€
391. Sala de Corte,1 206 avis,"Steakhouse, Européenne",€€-€€€
392. Os 3 Reis o Chico,326 avis,"Méditerranéenne, Européenne",€€-€€€
393. Taberna da Esperança,408 avis,"Méditerranéenne, Européenne",€€-€€€
394. Atalho Real,1 735 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
395. In.vulgar,54 avis,"Internationale, Méditerranéenne",€€-€€€
396. Tazza in Giro,100 avis,"Café, Méditerranéenne",€
397. Soul Garden,133 avis,"Bar, Asiatique",€€-€€€
398. Tasca do Francês,202 avis,"Française, Méditerranéenne",€€-€€€
399. Restaurante O Faustino,263 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
400. Al Garage,817 avis,"Italienne, Latino",€€-€€€
401. Floresta de Santana,347 avis,"Méditerranéenne, Européenne",€
402. Kafeine Lisboa,298 avis,"Café, Internationale",€
403. Marco,332 avis,"Européenne, Portugaise",€€-€€€
