Titre,Date,Lieux,Ville,Type,prix
"
      MR. BIG
    ","
      15 avril 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      43.50 "
"
      FEUERSCHWANZ
    ","
      18 avril 2024
    ",GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"

      44.70 "
"
      REAL MADRID / FC BARCELONA
    ","
      20 avril 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      735.00 "
"
      JEFF PANACLOC
    ","
      21 avril 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      41.50 "
"
      BEYOND THE BLACK
    ","
      21 avril 2024
    ",GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"

      45.46 "
"
      PINK MARTINI
    ","
      24 avril 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - BLUES COUNTRY,"

      48.50 "
"
      ATLETICO MADRID / ATHLETIC BILBAO
    ","
      27 avril 2024
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"

      115.50 "
"
      FC BARCELONE / VALENCIA
    ","
      27 avril 2024
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      82.50 "
"
      AVISHAI COHEN BANDA IROKO
    ","
      2 mai 2024
    ",DEN ATELIER,LUXEMBOURG,CONCERT - JAZZ,"

      49.00 "
"
      LE LAC DES CYGNES - BALLET ET ORCHESTRE
    ","
      2 mai 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,DANSE - DANSE CLASSIQUE,"

      52.00 "
"
      THE BLUES BROTHERS
    ","
      3 mai 2024
    ",SALLE DES PRINCES - GRIMALDI FORUM,MONACO,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      33.20 "
"
      TENACIOUS D
    ","
      3 mai 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,
"
      REAL MADRID / CADIZ
    ","
      4 mai 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      165.00 "
"
      FC BARCELONE / REAL SOCIEDAD
    ","
      11 mai 2024
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      93.50 "
"
      ATLETICO MADRID / CELTA VIGO
    ","
      11 mai 2024
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"

      71.50 "
"
      BELLEWAERDE PARK - OFFRE ENFANT GRATUIT
    ","
      9 décembre 2023
    ",BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,
"
      REAL MADRID / ALAVES
    ","
      14 mai 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      165.00 "
"
      FC BARCELONE / RAYO VALLECANO
    ","
      18 mai 2024
    ",STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"

      93.50 "
"
      ATLETICO MADRID / OSASUNA
    ","
      18 mai 2024
    ",CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"

      71.50 "
"
      MC SOLAAR
    ","
      24 mai 2024
    ",ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"

      40.50 "
"
      REAL MADRID / REAL BETIS
    ","
      25 mai 2024
    ",STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"

      230.00 "
"
      ROCK IN RIO LISBOA 2024 - DAILY GA
    ","
      15 juin 2024
    ",PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"

      84.00 "
"
      ROCK IN RIO LISBOA - DAILY VIP 15/06
    ","
      15 juin 2024
    ",PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,
"
      ROCK IN RIO LISBOA - DAILY VIP 16/06
    ","
      16 juin 2024
    ",PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,
"
      ROCK IN RIO LISBOA - DAILY VIP 22/06
    ","
      22 juin 2024
    ",PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,
"
      ROCK IN RIO LISBOA - DAILY VIP 23/06
    ","
      23 juin 2024
    ",PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,
"
      HOLIDAY PARK
    ","
      1 avril 2023
    ",HOLIDAY PARK,HASSLOCH,PARC - PARC DE LOISIRS,"

      17.99 "
"
      HOLIDAY PARK - PROMOTION
    ","
      30 octobre 2023
    ",HOLIDAY PARK,HASSLOCH,PARC - PARC DE LOISIRS,"

      33.95 "
"
      LOUANE
    ","
      17 juillet 2024
    ",NEIMENSTER,LUXEMBOURG,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      54.00 "
"
      JARRY
    ","
      17 octobre 2024
    ",CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      40.00 "
"
      WITHIN TEMPTATION
    ","
      5 décembre 2024
    ",ROCKHAL BOX - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"

      54.00 "
"
      BUN HAY MEAN
    ","
      6 décembre 2024
    ",CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"

      39.00 "
"
      B.B. JACQUES
    ","
      6 décembre 2024
    ",DEN ATELIER,LUXEMBOURG,CONCERT - RAP HIP-HOP SLAM,"

      28.20 "
"
      DIE FANTASTISCHEN VIER
    ","
      14 décembre 2024
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"

      78.50 "
"
      FESTIVAL MONDIAL DE LA MAGIE
    ","
      25 janvier 2025
    ",CHAPITO - CASINO 2000,MONDORF LES BAINS,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      35.00 "
"
      GIMS
    ","
      2 février 2025
    ",ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - VARIETE ET CHANSON FRANCAISE,"

      48.50 "
