titre,prix,nombres de passagers,nombre de grands bagages,type de boîtes,nombre de portes,localisation,debut de la location,fin de la location,ville,pays
Kia Picanto,146 €,4,2,M,2-4,"Nassaukade 380, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Ford Fiesta,150 €,5,1,M,4-5,"Overtoom 333, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Hyundai i20,154 €,4,1,M,4-5,"Nassaukade 380, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Fiat Panda,155 €,4,2,M,2-4,"Nassaukade 380, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Hyundai i20,163 €,5,2,M,2-4,"Nassaukade 380, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Kia Cee'd,164 €,5,2,M,4,"Nassaukade 380, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
,,,,,,,2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
,,,,,,,2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Kia Picanto,174 €,4,2,M,2-4,"Aaron Coplandstraat 6, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
,,,,,,,2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
,,,,,,,2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
,,,,,,,2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Hyundai i20,176 €,4,1,M,4-5,"Aaron Coplandstraat 6, Amsterdam",2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
,,,,,,,2023-11-24,2023-11-30,Amsterdam,Pays-Bas-c1334
Ford Fiesta,128 €,5,1,M,5,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Lancia Delta,167 €,5,3,M,4,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Opel Corsa,129 €,5,1,M,4,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Seat Arona,185 €,5,3,M,,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Mercedes-Benz A-Class,178 €,5,3,A,4,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Volkswagen T-Cross,186 €,5,3,A,5,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Nissan Qashqai,327 €,5,3,A,4,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Audi A3,191 €,5,3,M,5,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Ford Fiesta,153 €,5,1,M,5,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Citroen C3,166 €,5,1,A,4-5,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Catégorie de véhicule : SUV standard,189 €,5,4,M,4-5,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Seat Arona,195 €,5,3,A,4,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Opel Mokka,200 €,5,3,M,5,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Kia Picanto,121 €,4,2,M,2,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Toyota Yaris,212 €,5,1,A,4,BRU: Bruxelles Aéroport de Bruxelles-National,2023-11-24,2023-11-30,Bruxelle,Belgique-c32869
Volkswagen T-Cross,97 €,5,1,M,5,DUB: Aéroport de Dublin,2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen T-Cross,97 €,5,1,M,5,"Conrad Hotel,earlsfort Terrace, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen T-Cross,97 €,5,1,M,5,"Q-park, Marlborough Street, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Ford Fiesta,92 €,4,1,M,4,DUB: Aéroport de Dublin,2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen T-Cross,97 €,5,1,M,5,"Rochestown Ave, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Nissan Qashqai,164 €,5,3,A,5,DUB: Aéroport de Dublin,2023-11-24,2023-11-30,Dublin,Irlande-c7362
Ford Fiesta,88 €,5,1,M,4,DUB: Aéroport de Dublin,2023-11-24,2023-11-30,Dublin,Irlande-c7362
Ford Fiesta,104 €,4,1,M,4-5,"151 Lower Drumcondra Road, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen Polo,95 €,5,1,M,5,"Q-park, Marlborough Street, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen Polo,95 €,5,1,M,5,"Conrad Hotel,earlsfort Terrace, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen Polo,95 €,5,1,M,5,DUB: Aéroport de Dublin,2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen T-ROC,110 €,5,2,M,5,"Conrad Hotel,earlsfort Terrace, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Volkswagen T-ROC,110 €,5,2,M,5,"Q-park, Marlborough Street, Dublin",2023-11-24,2023-11-30,Dublin,Irlande-c7362
Ford Fiesta,98 €,4,1,M,4,DUB: Aéroport de Dublin,2023-11-24,2023-11-30,Dublin,Irlande-c7362
,,,,,,,2023-11-24,2023-11-30,Dublin,Irlande-c7362
Catégorie de véhicule : Citadine,141 €,4,1,M,2-3,"Gammel Kongevej 13,City-office., Copenhague",2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Catégorie de véhicule : Citadine,136 €,4,1,M,3,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Citroen C3,157 €,5,1,M,4-5,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Volkswagen Polo,139 €,5,2,M,5,"Gammel Kongevej 13,City-office., Copenhague",2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Opel Corsa,167 €,5,1,M,4-5,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Renault Zoe,167 €,4,1,A,4-5,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Kia Cee'd,198 €,4,2,M,4,"Banevingen 12, Copenhague",2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Kia Picanto,154 €,4,2,M,2-4,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Citroen C3,169 €,5,1,A,4-5,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Volkswagen Polo,139 €,5,2,M,5,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Renault Clio,161 €,5,1,M,5,"Gammel Kongevej 13- City-office (No Return Of Trucks!), Copenhague",2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Ford Fiesta,169 €,5,1,M,5,"Copenhagen Downtown, Copenhague",2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Honda Fit,154 €,4,2,A,5,"Gammel Kongevej 13,City-office., Copenhague",2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Citroen C3,175 €,5,1,M,4-5,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Citroen C3,174 €,5,1,M,4-5,CPH: Copenhague Aéroport de Copenhague Kastrup,2023-11-24,2023-11-30,Copenhague,Danemark-c8533
Toyota C-HR,154 €,5,2,A,5,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Catégorie de véhicule : Compacte,124 €,5,1,A,4,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Toyota C-HR,140 €,5,2,A,5,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Catégorie de véhicule : Économique,137 €,4,1,A,4,"Holbergsgaten 30, Oslo",2023-11-24,2023-11-30,Oslo,Norvege-c29309
Catégorie de véhicule : Économique,137 €,4,1,A,4,"Oslo Railway Station, Oslo",2023-11-24,2023-11-30,Oslo,Norvege-c29309
Suzuki Vitara,138 €,5,3,M,5,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Volkswagen ID.4,153 €,5,3,A,,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Suzuki Vitara,146 €,5,3,A,5,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Peugeot 208,133 €,5,1,M,2,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Volkswagen Polo,154 €,5,2,A,4-5,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Volkswagen ID.4,153 €,5,3,A,5,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Catégorie de véhicule : SUV standard,175 €,5,4,A,,"Sjogata 4, Oslo",2023-11-24,2023-11-30,Oslo,Norvege-c29309
Suzuki SX4 S-Cross,171 €,5,4,M,,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Volkswagen ID.4,139 €,5,3,A,,OSL: Oslo Aéroport d'Oslo-Gardermoen,2023-11-24,2023-11-30,Oslo,Norvege-c29309
,,,,,,,2023-11-24,2023-11-30,Oslo,Norvege-c29309
Peugeot 208,119 €,5,1,A,4-5,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Volkswagen Golf,124 €,5,1,A,4,BMA: Stockholm Aéroport de Stockholm-Bromma,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Kia Cee'd,128 €,5,2,A,4,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Catégorie de véhicule : Compacte,124 €,5,2,A,4,BMA: Stockholm Aéroport de Stockholm-Bromma,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Kia Cee'd,133 €,5,2,A,4,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Peugeot 208,122 €,5,1,A,4-5,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Kia Cee'd,125 €,5,2,A,4,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Peugeot 208,126 €,5,1,A,4-5,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Catégorie de véhicule : Compacte,133 €,5,2,A,4,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Kia Niro,164 €,5,3,A,,NYO: Stockholm Aéroport de Stockholm-Skavsta,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Kia Niro,173 €,5,3,A,,NYO: Stockholm Aéroport de Stockholm-Skavsta,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Peugeot 308,169 €,5,2,M,4-5,BMA: Stockholm Aéroport de Stockholm-Bromma,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Choisie par l’agence,131 €,,,A,,ARN: Stockholm Aéroport de Stockholm-Arlanda,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Skoda Fabia,192 €,5,2,M,4-5,BMA: Stockholm Aéroport de Stockholm-Bromma,2023-11-24,2023-11-30,Stockolm,Suede-c9880
Kia Cee'd,182 €,4,2,A,4,"Malaxgatan 2, Stockholm",2023-11-24,2023-11-30,Stockolm,Suede-c9880
Renault Clio,113 €,5,1,M,5,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Volkswagen Polo,125 €,5,1,A,4,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Volkswagen Polo,125 €,5,1,M,4,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Opel Karl,130 €,4,2,M,4-5,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Opel Karl,129 €,4,2,A,4-5,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Volkswagen up!,106 €,4,1,M,4,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Volkswagen up!,320 €,2,1,M,4,"Mekaanikonkatu 10, Helsinki",2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Opel Corsa,132 €,5,2,M,2-4,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Volkswagen Golf,135 €,5,2,M,5,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
Land Rover Range Rover,323 €,5,,A,5,HEL: Helsinki Aéroport de Vantaa,2023-11-24,2023-11-30,Helsinki,Finlande-c7232
